blockType,targetLineLoc,lineSpecs_1,lineSpecs_2,lineSpecs_3,lineSpecs_4,flashLoc,timeIntervalType,distIntervalType,delay,timeInterval,distInterval,targetInterval,fixOn,fixOff,lineOn,lineOff,setOn,setOff,tarOn,saccadeOn,saccadeInRect,feedBackOn,feedBackOff,prodDist_1,prodDist_2,prodDist_3,prodDist_4,RT,blockNum
space,downleft,0,1080,960,540,right,long,short,0.597,1.6,6,6,7.74303698539734,8.74303507804871,8.74303507804871,9.3426239490509,9.3426239490509,9.35929203033447,10.9593060016632,11.3256189823151,11.4256770610809,11.5426459312439,11.8426568508148,261.201481336802,53.3077175106806,711,618.900024414062,0.366312980651855,9
space,downleft,0,1080,960,540,right,long,short,0.742,1.6,6,6,12.8430919647217,13.843092918396,13.843092918396,14.592679977417,14.592679977417,14.6093480587006,16.2093620300293,16.6186199188232,16.7186770439148,16.8260319232941,17.126039981842,278.091031299921,5.95938576582056,720.599975585938,681.5,0.409257888793945,9
space,downleft,0,1080,960,540,right,short,inter,0.702,0.4,8,8,18.1260440349579,19.1264870166779,19.1264870166779,19.8260669708252,19.8260669708252,19.8427278995514,20.2427320480347,20.5924370288849,20.6924979686737,20.8095278739929,21.1094129085541,397.896382434906,34.2474652772535,597.700012207031,704.5,0.34970498085022,9
space,downleft,0,1080,960,540,right,short,short,0.754,0.4,6,6,22.1094210147858,23.1098470687866,23.1098470687866,23.8594379425049,23.8594379425049,23.8761050701141,24.2761039733887,24.577122926712,24.677188873291,24.7928838729858,25.0927848815918,214.125400042498,16.5926146332931,765.799987792969,630.200012207031,0.301018953323364,9
space,downleft,0,1080,960,540,right,inter,long,0.791,0.8,12,12,26.0927879810333,27.093211889267,27.093211889267,27.8761398792267,27.8761398792267,27.8928110599518,28.6928129196167,28.9090340137482,29.0090909004211,29.126158952713,29.4261610507965,429.680148885983,7.43016615992142,589.200012207031,757.099975585938,0.21622109413147,9
space,downleft,0,1080,960,540,right,inter,short,0.656,0.8,6,6,30.4265968799591,31.4261748790741,31.4261748790741,32.0761868953705,32.0761868953705,32.0928490161896,32.8928608894348,33.2528600692749,33.3529179096222,33.4595339298248,33.759535074234,235.332398452127,6.46054901422018,751.799987792969,649.700012207031,0.359999179840088,9
space,downleft,0,1080,960,540,right,short,inter,0.619,0.4,8,8,34.759950876236,35.7599768638611,35.7599768638611,36.3762290477753,36.3762290477753,36.3928949832916,36.7928938865662,37.113921880722,37.2139768600464,37.3262388706207,37.6262359619141,356.611602858024,20.9613810284956,660,732.799987792969,0.321027994155884,9
space,downleft,0,1080,960,540,right,short,inter,0.569,0.4,8,8,38.6266469955444,39.6266679763794,39.6266679763794,40.1933360099792,40.1933360099792,40.2100188732147,40.6096029281616,41.0027680397034,41.1028249263763,41.20960688591,41.5096108913422,286.13312398874,0.435754520594092,710.400024414062,679.900024414062,0.393165111541748,9
space,downleft,0,1080,960,540,right,short,short,0.67,0.4,6,6,42.5100338459015,43.5100429058075,43.5100429058075,44.1767358779907,44.1767358779907,44.1933929920197,44.592973947525,44.915463924408,45.0155298709869,45.1263539791107,45.4263639450073,233.107775147003,29.2359026139905,744.099975585938,627.900024414062,0.322489976882935,9
space,downleft,0,1080,960,540,right,short,long,0.507,0.4,12,12,46.4267280101776,47.4263360500336,47.4263360500336,47.9263360500336,47.9263360500336,47.9430069923401,48.3430600166321,48.6843519210815,48.784411907196,48.8930180072784,49.193018913269,358.596473062919,12.7413462132582,653.900024414062,726.799987792969,0.341291904449463,9
