blockType,targetLineLoc,lineSpecs_1,lineSpecs_2,lineSpecs_3,lineSpecs_4,flashLoc,timeIntervalType,distIntervalType,delay,timeInterval,distInterval,targetInterval,fixOn,fixOff,lineOn,lineOff,setOn,setOff,tarOn,saccadeOn,saccadeInRect,feedBackOn,feedBackOff,RT,blockNum
time,downleft,0,1080,960,540,right,inter,long,1,0.8,12,12,10.9937589168549,11.993763923645,11.993763923645,12.9933409690857,12.9933409690857,13.0100100040436,13.8100190162659,14.1708168983459,14.2708749771118,14.3766899108887,14.6766910552979,0.360797882080078,1
time,downleft,0,1080,960,540,right,inter,inter,0.865,0.8,8,8,15.677120923996,16.6767139434814,16.6767139434814,17.5433859825134,17.5433859825134,17.5600550174713,18.3600628376007,19.1316239833832,19.2316789627075,19.3434040546417,19.6438529491425,0.771561145782471,1
time,downleft,0,1080,960,540,right,short,long,0.97,0.4,12,12,20.6438410282135,21.6434268951416,21.6434268951416,22.6101059913635,22.6101059913635,22.626767873764,23.0267770290375,23.4195590019226,23.5196180343628,23.6267838478088,23.9267828464508,0.392781972885132,1
time,downleft,0,1080,960,540,right,inter,short,0.947,0.8,6,6,24.9272220134735,25.9272148609161,25.9272148609161,26.8768148422241,26.8768148422241,26.8934760093689,27.6934900283813,28.3073308467865,28.4073870182037,28.5101618766785,28.8101668357849,0.613840818405151,1
time,downleft,0,1080,960,540,right,inter,long,0.761,0.8,12,12,29.8106038570404,30.8101840019226,30.8101840019226,31.5768609046936,31.5768609046936,31.5935280323029,32.3935308456421,33.1592359542847,33.2592890262604,33.3769240379333,33.6773190498352,0.765705108642578,1
time,downleft,0,1080,960,540,right,short,short,0.577,0.4,6,6,34.6773219108582,35.6769399642944,35.6769399642944,36.2602369785309,36.2602369785309,36.2769010066986,36.6769099235535,37.0221209526062,37.1221759319305,37.2269110679626,37.5269160270691,0.345211029052734,1
time,downleft,0,1080,960,540,right,short,inter,0.57,0.4,8,8,44.8607618808746,45.8607549667358,45.8607549667358,46.4274280071259,46.4274280071259,46.4440879821777,46.8436789512634,47.3396968841553,47.439759016037,47.5436849594116,47.8438079357147,0.496017932891846,1
time,downleft,0,1080,960,540,right,inter,long,0.953,0.8,12,12,48.8441450595856,49.8437030315399,49.8437030315399,50.7937109470367,50.7937109470367,50.8103799819946,51.6103899478912,52.3615489006042,52.4616038799286,52.5770690441132,52.8770680427551,0.751158952713013,1
time,downleft,0,1080,960,540,right,long,inter,0.673,1.6,8,8,53.8775129318237,54.8775229454041,54.8775229454041,55.5441789627075,55.5441789627075,55.560840845108,57.1604459285736,58.8672769069672,58.9673399925232,59.077614068985,59.377564907074,1.70683097839355,1
time,downleft,0,1080,960,540,right,short,inter,0.832,0.4,8,8,60.3775579929352,61.3775749206543,61.3775749206543,62.21049284935,62.21049284935,62.2271599769592,62.627161026001,63.3012058734894,63.4012649059296,63.5105109214783,63.8105139732361,0.674044847488403,1
