blockType,targetLineLoc,lineSpecs_1,lineSpecs_2,lineSpecs_3,lineSpecs_4,flashLoc,timeIntervalType,distIntervalType,delay,timeInterval,distInterval,targetInterval,fixOn,fixOff,lineOn,lineOff,setOn,setOff,tarOn,saccadeOn,saccadeInRect,feedBackOn,feedBackOff,prodDist_1,prodDist_2,prodDist_3,prodDist_4,RT,blockNum
space,upright,1920,0,960,540,left,long,long,0.912,1.6,12,12,14.3306720256805,15.3306789398193,15.3306789398193,16.2469260692596,16.2469260692596,16.2635939121246,17.8636081218719,18.2020709514618,18.3021149635315,18.4136159420013,18.7136180400848,416.13796247136,29.1596317749797,1336.09997558594,361.899993896484,0.338462829589844,9
space,upright,1920,0,960,540,left,inter,inter,0.662,0.8,8,8,19.7140550613403,20.7140510082245,20.7140510082245,21.3807179927826,21.3807179927826,21.3969781398773,22.1969859600067,22.5790801048279,22.6791229248047,22.7803900241852,23.0803740024567,218.684585570888,30.7993351210257,1163.80004882812,460.700012207031,0.382094144821167,9
space,upright,1920,0,960,540,left,short,short,0.536,0.4,6,6,24.0807459354401,25.080775976181,25.080775976181,25.6137330532074,25.6137330532074,25.6303989887238,26.0303549766541,26.5316429138184,26.6316859722137,26.7470269203186,27.0470359325409,255.424884393403,32.9074358428273,1196.90002441406,444.5,0.501287937164307,9
space,upright,1920,0,960,540,left,short,long,0.923,0.4,12,12,28.0474750995636,29.0474619865417,29.0474619865417,29.9637310504913,29.9637310504913,29.9803891181946,30.380401134491,31.0266120433807,31.1266551017761,31.2304110527039,31.5304141044617,468.878839486457,27.1768492948518,1381.30004882812,334.200012207031,0.646210908889771,9
space,upright,1920,0,960,540,left,inter,short,0.983,0.8,6,6,32.5308530330658,33.5304329395294,33.5304329395294,34.5137679576874,34.5137679576874,34.5304341316223,35.330451965332,35.7684290409088,35.868469953537,35.9804580211639,36.2804610729218,217.63859749565,32.7930229347175,1163.59997558594,463.100006103516,0.437977075576782,9
space,upright,1920,0,960,540,left,long,long,0.76,1.6,12,12,41.4809370040894,42.4805219173431,42.4805219173431,43.2471969127655,43.2471969127655,43.2638640403748,44.8638710975647,45.1541509628296,45.254194021225,45.3638861179352,45.6638889312744,544.464310456919,69.1486122073504,1464.59997558594,335.5,0.290279865264893,9
space,upright,1920,0,960,540,left,long,inter,0.513,1.6,8,8,46.6643331050873,47.6643390655518,47.6643390655518,48.180694103241,48.180694103241,48.197655916214,49.7973780632019,50.1771020889282,50.2771439552307,50.3805940151215,50.6807160377502,354.897039137655,31.8832986789003,1283.69995117188,394.5,0.379724025726318,9
space,upright,1920,0,960,540,left,inter,short,0.596,0.8,6,6,51.6810610294342,52.6810569763184,52.6810569763184,53.2810659408569,53.2810659408569,53.297730922699,54.0973060131073,54.4627311229706,54.5627720355988,54.6807570457458,54.9806489944458,205.858075256814,33.0599841704425,1153.30004882812,469.200012207031,0.365425109863281,9
space,upright,1920,0,960,540,left,inter,long,0.624,0.8,12,12,61.2307031154633,62.2311561107635,62.2311561107635,62.8473930358887,62.8473930358887,62.8640611171722,63.6640701293945,64.4043629169464,64.5044069290161,64.6140789985657,64.9140820503235,417.975167563174,36.7423628865004,1340.90002441406,367.899993896484,0.74029278755188,9
space,upright,1920,0,960,540,left,long,short,0.941,1.6,6,6,65.9145269393921,66.9145150184631,66.9145150184631,67.8474359512329,67.8474359512329,67.8641109466553,69.4641211032867,69.89439702034,69.9944400787354,70.0974669456482,70.3974709510803,224.951994900615,18.8151249384077,1164.59997558594,446.5,0.430275917053223,9
space,upright,1920,0,960,540,left,short,short,0.859,0.4,6,6,71.3979260921478,72.3975470066071,72.3975470066071,73.2641661167145,73.2641661167145,73.2808239459991,73.6809470653534,74.2231850624084,74.3232281208038,74.4308450222015,74.7308480739594,317.25350366989,15.770076524441,1243.90002441406,398.399993896484,0.542237997055054,9
space,upright,1920,0,960,540,left,long,short,0.658,1.6,6,6,75.7312669754028,76.7312819957733,76.7312819957733,77.3812930583954,77.3812930583954,77.3975989818573,78.9975469112396,79.4700539112091,79.5700969696045,79.6808969974518,79.9809000492096,393.461861295279,45.6596740904621,1323,388.200012207031,0.472506999969482,9
space,upright,1920,0,960,540,left,long,short,0.599,1.6,6,6,80.9813449382782,81.981360912323,81.981360912323,82.5809259414673,82.5809259414673,82.5975849628448,84.1976020336151,84.5488679409027,84.6489119529724,84.7642819881439,85.0642850399017,211.235957604662,32.0794084944283,1157.69995117188,465.600006103516,0.351265907287598,9
