blockType,targetLineLoc,lineSpecs_1,lineSpecs_2,lineSpecs_3,lineSpecs_4,flashLoc,timeIntervalType,distIntervalType,delay,timeInterval,distInterval,targetInterval,fixOn,fixOff,lineOn,lineOff,setOn,setOff,tarOn,saccadeOn,saccadeInRect,feedBackOn,feedBackOff,RT,blockNum
time,upright,1920,0,960,540,left,inter,inter,0.517,0.8,8,8,11.3102459907532,12.3102731704712,12.3102731704712,12.8265721797943,12.8265721797943,12.8432381153107,13.6432449817657,14.5614151954651,14.6614601612091,14.7765901088715,15.0765919685364,0.918170213699341,1
time,upright,1920,0,960,540,left,short,short,0.673,0.4,6,6,16.0769731998444,17.0769870281219,17.0769870281219,17.7432839870453,17.7432839870453,17.7599511146545,18.1599550247192,18.7892870903015,18.8893330097198,18.9932971000671,19.2932531833649,0.629332065582275,1
time,upright,1920,0,960,540,left,short,long,0.914,0.4,12,12,20.2937281131744,21.2936811447144,21.2936811447144,22.2099471092224,22.2099471092224,22.2266139984131,22.6266100406647,23.2183589935303,23.3184030056,23.4266240596771,23.7266249656677,0.591748952865601,1
time,upright,1920,0,960,540,left,long,long,0.902,1.6,12,12,29.2604331970215,30.2604529857635,30.2604529857635,31.1600351333618,31.1600351333618,31.1766920089722,32.7767109870911,34.0618741512299,34.1619219779968,34.2767250537872,34.5771641731262,1.28516316413879,1
time,upright,1920,0,960,540,left,inter,short,0.612,0.8,6,6,35.5771641731262,36.57674908638,36.57674908638,37.1934151649475,37.1934151649475,37.2100811004639,38.0100929737091,38.9216451644897,39.0216901302338,39.1267690658569,39.4267730712891,0.91155219078064,1
time,upright,1920,0,960,540,left,short,inter,0.958,0.4,8,8,40.4271991252899,41.4272091388702,41.4272091388702,42.3768019676208,42.3768019676208,42.3934671878815,42.7934741973877,43.3736100196838,43.4736549854279,43.5768101215363,43.8768141269684,0.580135822296143,1
time,upright,1920,0,960,540,left,inter,inter,0.527,0.8,8,8,44.8772461414337,45.877259016037,45.877259016037,46.4106020927429,46.4106020927429,46.4272541999817,47.2268459796906,48.1734621524811,48.2735071182251,48.3768620491028,48.6772871017456,0.946616172790527,1
time,upright,1920,0,960,540,left,inter,long,0.931,0.8,12,12,49.677276134491,50.6768770217896,50.6768770217896,51.6102240085602,51.6102240085602,51.6268911361694,52.4268951416016,53.0102241039276,53.1102831363678,53.2269041538239,53.5269031524658,0.58332896232605,1
time,upright,1920,0,960,540,left,long,inter,0.683,1.6,8,8,54.5273451805115,55.5269269943237,55.5269269943237,56.2102630138397,56.2102630138397,56.2269279956818,57.8269481658936,59.5301420688629,59.6301901340485,59.7440831661224,60.0440649986267,1.70319390296936,1
time,upright,1920,0,960,540,left,long,short,0.587,1.6,6,6,61.0440831184387,62.0440649986267,62.0440649986267,62.6269931793213,62.6269931793213,62.6436581611633,64.243674993515,65.5727531909943,65.6727981567383,65.7774720191956,66.0774571895599,1.32907819747925,1
time,upright,1920,0,960,540,left,short,short,0.825,0.4,6,6,67.0774440765381,68.0774719715118,68.0774719715118,68.9103841781616,68.9103841781616,68.927050113678,69.3270571231842,69.8944730758667,69.994518995285,70.1103930473328,70.4103991985321,0.567415952682495,1
time,upright,1920,0,960,540,left,short,short,0.885,0.4,6,6,71.4104111194611,72.4108431339264,72.4108431339264,73.2937650680542,73.2937650680542,73.3104221820831,73.7104351520538,74.2693190574646,74.36936211586,74.4772210121155,74.777113199234,0.558883905410767,1
time,upright,1920,0,960,540,left,short,long,0.532,0.4,12,12,75.7775421142578,76.777535200119,76.777535200119,77.3108880519867,77.3108880519867,77.3276360034943,77.7271311283112,78.2771940231323,78.3772599697113,78.4939270019531,78.7938179969788,0.550062894821167,1
time,upright,1920,0,960,540,left,short,inter,0.843,0.4,8,8,79.7942349910736,80.7942590713501,80.7942590713501,81.6438360214233,81.6438360214233,81.6605010032654,82.0605139732361,82.6730439662933,82.7730901241302,82.8771810531616,83.1771850585938,0.612529993057251,1
time,upright,1920,0,960,540,left,short,inter,0.629,0.4,8,8,84.1776180267334,85.1776311397552,85.1776311397552,85.8105499744415,85.8105499744415,85.8272171020508,86.2272200584412,87.0041191577911,87.1041631698608,87.2105641365051,87.5110101699829,0.776899099349976,1
time,upright,1920,0,960,540,left,inter,long,0.629,0.8,12,12,88.5110001564026,89.5105860233307,89.5105860233307,90.143923997879,90.143923997879,90.1605920791626,90.9606001377106,91.7489151954651,91.8489580154419,91.9606101512909,92.2606129646301,0.788315057754517,1
time,upright,1920,0,960,540,left,short,long,0.999,0.4,12,12,93.2610490322113,94.261048078537,94.261048078537,95.2606320381165,95.2606320381165,95.2773001194,95.6773121356964,96.3566880226135,96.4567301273346,96.5606551170349,96.8606581687927,0.679375886917114,1
time,upright,1920,0,960,540,left,long,inter,0.75,1.6,8,8,97.8610870838165,98.8610970973969,98.8610970973969,99.6106741428375,99.6106741428375,99.6273500919342,101.22735619545,102.41638302803,102.516429185867,102.627811193466,102.927826166153,1.18902683258057,1
time,upright,1920,0,960,540,left,inter,short,0.7,0.8,6,6,103.927808046341,104.92781996727,104.92781996727,105.627398014069,105.627398014069,105.644074201584,106.444073200226,107.214323043823,107.314367055893,107.427426099777,107.727428197861,0.770249843597412,1
