blockType,targetLineLoc,lineSpecs_1,lineSpecs_2,lineSpecs_3,lineSpecs_4,flashLoc,timeIntervalType,distIntervalType,delay,timeInterval,distInterval,targetInterval,fixOn,fixOff,lineOn,lineOff,setOn,setOff,tarOn,saccadeOn,saccadeInRect,feedBackOn,feedBackOff,prodDist_1,prodDist_2,prodDist_3,prodDist_4,RT,blockNum
space,upright,1920,0,960,540,left,inter,short,0.569,0.8,6,6,7.44247698783875,8.4424889087677,8.4424889087677,9.00914597511292,9.00914597511292,9.02580499649048,9.82540082931519,10.1756629943848,10.2757179737091,10.392068862915,10.6920728683472,142.439265103294,21.598744578555,1093.30004882812,489.799987792969,0.35026216506958,9
space,upright,1920,0,960,540,left,inter,short,0.679,0.8,6,6,11.6925208568573,12.6925299167633,12.6925299167633,13.3754358291626,13.3754358291626,13.3920998573303,14.1921079158783,14.6112949848175,14.7113540172577,14.8254518508911,15.1254558563232,175.727724906412,21.8928694042851,1122.69995117188,473.600006103516,0.419187068939209,9
space,upright,1920,0,960,540,left,short,short,0.584,0.4,6,6,16.1254580020905,17.1259050369263,17.1259050369263,17.7088088989258,17.7088088989258,17.725478887558,18.1254858970642,18.8191590309143,18.9192190170288,19.0254919528961,19.325493812561,153.480973518472,13.814477583099,1100,477.100006103516,0.693673133850098,9
space,upright,1920,0,960,540,left,short,long,0.906,0.4,12,12,20.3259179592133,21.3255159854889,21.3255159854889,22.2255258560181,22.2255258560181,22.2421908378601,22.6421978473663,23.19424700737,23.294303894043,23.4088740348816,23.7088708877563,320.694385938332,23.0803870838611,1250.09997558594,403.299987792969,0.552049160003662,9
space,upright,1920,0,960,540,left,inter,inter,0.998,0.8,8,8,24.7093088626862,25.7093229293823,25.7093229293823,26.7089018821716,26.7089018821716,26.7255718708038,27.5255768299103,27.8999679088593,28.0000309944153,28.1089198589325,28.4089248180389,297.152712943313,37.7501221013007,1235.40002441406,428.399993896484,0.374391078948975,9
space,upright,1920,0,960,540,left,inter,inter,0.866,0.8,8,8,29.4093518257141,30.4093840122223,30.4093840122223,31.2756669521332,31.2756669521332,31.2923238277435,32.0923328399658,32.5099139213562,32.6099698543549,32.7256708145142,33.0257568359375,282.20579026931,31.3222591646008,1219.80004882812,429.799987792969,0.417581081390381,9
space,upright,1920,0,960,540,left,short,short,0.807,0.4,6,6,34.0256488323212,35.0260739326477,35.0260739326477,35.825660943985,35.825660943985,35.8423299789429,36.2423329353333,36.7578158378601,36.8578798770905,36.9756770133972,37.2756810188293,198.195347064827,16.6634693782869,1140.30004882812,457.700012207031,0.515482902526855,9
space,upright,1920,0,960,540,left,inter,short,0.941,0.8,6,6,38.2761199474335,39.2756979465485,39.2756979465485,40.2090430259705,40.2090430259705,40.2257108688354,41.0258429050446,41.3006279468536,41.4006819725037,41.5090568065643,41.8090558052063,175.810583510819,17.6221612416433,1121.09997558594,469.600006103516,0.274785041809082,9
space,upright,1920,0,960,540,left,short,long,0.656,0.4,12,12,42.8090658187866,43.8095149993896,43.8095149993896,44.4591448307037,44.4591448307037,44.4758009910583,44.8757569789886,45.4765009880066,45.5765619277954,45.6924319267273,45.9924368858337,401.809120484095,11.7118095792984,1315.80004882812,353.299987792969,0.600744009017944,9
space,upright,1920,0,960,540,left,inter,short,0.858,0.8,6,6,46.9928708076477,47.9928829669952,47.9928829669952,48.8424649238586,48.8424649238586,48.8591268062592,49.6591348648071,50.2951970100403,50.3952529430389,50.5091469287872,50.8091540336609,285.177410935734,49.6525622309705,1229.09997558594,445.600006103516,0.636062145233154,9
space,upright,1920,0,960,540,left,inter,inter,0.541,0.8,8,8,51.8095729351044,52.8096139431,52.8096139431,53.3425059318542,53.3425059318542,53.3591728210449,54.1591818332672,54.4901378154755,54.5901918411255,54.6925239562988,54.9925298690796,372.352120568549,19.3925490514276,1293.59997558594,374.600006103516,0.330955982208252,9
space,upright,1920,0,960,540,left,long,short,0.848,1.6,6,6,55.9925348758698,56.9929649829865,56.9929649829865,57.8425509929657,57.8425509929657,57.8592209815979,59.4592409133911,59.8389058113098,59.9389619827271,60.0425779819489,60.342581987381,214.35981606782,37.6956486302304,1162.40002441406,469.399993896484,0.379664897918701,9
space,upright,1920,0,960,540,left,short,short,0.956,0.4,6,6,61.3430190086365,62.3425989151001,62.3425989151001,63.2926139831543,63.2926139831543,63.3092799186707,63.7092819213867,64.2618119716644,64.3618710041046,64.4759609699249,64.7759568691254,212.655237414929,24.1862211552062,1156,457.5,0.55253005027771,9
space,upright,1920,0,960,540,left,long,long,0.854,1.6,12,12,65.7764070034027,66.7764208316803,66.7764208316803,67.625993013382,67.625993013382,67.6426568031311,69.2427699565887,69.751720905304,69.8517909049988,69.9593508243561,70.2593548297882,453.123545601115,37.8318190087188,1372.09997558594,351.600006103516,0.50895094871521,9
space,upright,1920,0,960,540,left,inter,inter,0.82,0.8,8,8,71.2597968578339,72.2593729496002,72.2593729496002,73.0760428905487,73.0760428905487,73.0927109718323,73.8927190303802,74.6695430278778,74.7696018218994,74.8760650157928,75.1760659217834,251.976898662789,29.5790881415708,1192.59997558594,443.100006103516,0.776823997497559,9
space,upright,1920,0,960,540,left,long,inter,0.93,1.6,8,8,76.1764848232269,77.1765058040619,77.1765058040619,78.1094319820404,78.1094319820404,78.1260988712311,79.7261140346527,80.2873690128326,80.387423992157,80.4927878379822,80.7927899360657,357.939286344406,2.72913951948343,1273.30004882812,366.899993896484,0.561254978179932,9
space,upright,1920,0,960,540,left,short,inter,0.846,0.4,8,8,81.7932238578796,82.7932488918304,82.7932488918304,83.6428220272064,83.6428220272064,83.6594879627228,84.0594928264618,84.6480610370636,84.7481248378754,84.8595018386841,85.1595058441162,257.703339799845,18.2703968772985,1193,429.899993896484,0.588568210601807,9
