blockType,targetLineLoc,lineSpecs_1,lineSpecs_2,lineSpecs_3,lineSpecs_4,flashLoc,timeIntervalType,distIntervalType,delay,timeInterval,distInterval,targetInterval,fixOn,fixOff,lineOn,lineOff,setOn,setOff,tarOn,saccadeOn,saccadeInRect,feedBackOn,feedBackOff,RT,blockNum
time,upright,1920,0,960,540,left,short,short,0.681,0.4,6,6,8.37534093856812,9.37537002563477,9.37537002563477,10.058718919754,10.058718919754,10.0753698348999,10.4749557971954,10.85484790802,10.954913854599,11.0583028793335,11.3583009243011,0.379892110824585,1
time,upright,1920,0,960,540,left,long,inter,0.563,1.6,8,8,12.3587219715118,13.3587348461151,13.3587348461151,13.9254169464111,13.9254169464111,13.942088842392,15.5416808128357,17.1626198291779,17.2626888751984,17.375471830368,17.6754570007324,1.62093901634216,1
time,upright,1920,0,960,540,left,inter,short,0.926,0.8,6,6,18.6754548549652,19.6754639148712,19.6754639148712,20.608402967453,20.608402967453,20.6250658035278,21.4250748157501,22.5846209526062,22.6846768856049,22.7918779850006,23.0917658805847,1.15954613685608,1
time,upright,1920,0,960,540,left,long,inter,0.717,1.6,8,8,24.0921719074249,25.0922038555145,25.0922038555145,25.8084588050842,25.8084588050842,25.8251218795776,27.4251399040222,29.2793669700623,29.3794279098511,29.4922590255737,29.7922639846802,1.85422706604004,1
time,upright,1920,0,960,540,left,short,short,0.786,0.4,6,6,30.7922539710999,31.7923970222473,31.7923970222473,32.5751988887787,32.5751988887787,32.5918688774109,32.9918668270111,33.711128950119,33.8111889362335,33.9252169132233,34.2252159118652,0.71926212310791,1
time,upright,1920,0,960,540,left,long,inter,0.722,1.6,8,8,35.2256529331207,36.2252879142761,36.2252879142761,36.9419097900391,36.9419097900391,36.9585809707642,38.5585978031158,40.0999507904053,40.2000088691711,40.3090388774872,40.6090638637543,1.54135298728943,1
time,upright,1920,0,960,540,left,short,short,0.957,0.4,6,6,41.6090400218964,42.6090438365936,42.6090438365936,43.5586550235748,43.5586550235748,43.5753200054169,43.9753179550171,44.543890953064,44.6439499855042,44.7586688995361,45.0586719512939,0.568572998046875,1
time,upright,1920,0,960,540,left,short,short,0.561,0.4,6,6,46.0590980052948,47.0591089725494,47.0591089725494,47.6253650188446,47.6253650188446,47.6420249938965,48.0420348644257,48.8127930164337,48.9128489494324,49.0253789424896,49.3253829479218,0.770758152008057,1
time,upright,1920,0,960,540,left,short,long,0.601,0.4,12,12,50.3258090019226,51.3254508972168,51.3254508972168,51.9254069328308,51.9254069328308,51.942076921463,52.3420789241791,52.8455939292908,52.9456520080566,53.058758020401,53.3587558269501,0.503515005111694,1
time,upright,1920,0,960,540,left,inter,inter,0.569,0.8,8,8,54.3591909408569,55.3592028617859,55.3592028617859,55.9258568286896,55.9258568286896,55.9425239562988,56.7421309947968,57.7253749370575,57.8254368305206,57.9421429634094,58.2425849437714,0.983243942260742,1
time,upright,1920,0,960,540,left,long,short,0.503,1.6,6,6,59.2425630092621,60.242161989212,60.242161989212,60.7421720027924,60.7421720027924,60.7588379383087,62.3588519096375,63.8092739582062,63.9093368053436,64.0255420207977,64.3259799480438,1.45042204856873,1
time,upright,1920,0,960,540,left,short,inter,0.985,0.4,8,8,65.3259658813477,66.3255620002747,66.3255620002747,67.3089067935944,67.3089067935944,67.3255779743195,67.7255778312683,68.5081059932709,68.6081628799438,68.7255928516388,69.025593996048,0.782528162002563,1
time,upright,1920,0,960,540,left,inter,short,0.579,0.8,6,6,70.0260219573975,71.0260279178619,71.0260279178619,71.6089568138123,71.6089568138123,71.6256239414215,72.4256329536438,73.5199379920959,73.6199970245361,73.7256469726562,74.0256500244141,1.09430503845215,1
time,upright,1920,0,960,540,left,long,long,0.555,1.6,12,12,80.2261428833008,81.2257239818573,81.2257239818573,81.7757358551025,81.7757358551025,81.7925188541412,83.3924169540405,84.9814488887787,85.0815329551697,85.1928558349609,85.4928588867188,1.58903193473816,1
time,upright,1920,0,960,540,left,long,long,0.792,1.6,12,12,86.4928708076477,87.4928689002991,87.4928689002991,88.292585849762,88.292585849762,88.3091368675232,89.9091529846191,92.2734129428864,92.3734769821167,92.4762909412384,92.7762858867645,2.36425995826721,1
time,upright,1920,0,960,540,left,short,inter,0.563,0.4,8,8,93.7762739658356,94.7762808799744,94.7762808799744,95.3425469398499,95.3425469398499,95.3592159748077,95.7592198848724,96.6350529193878,96.7351188659668,96.8425648212433,97.1425638198853,0.875833034515381,1
time,upright,1920,0,960,540,left,short,inter,0.644,0.4,8,8,98.1429920196533,99.1430058479309,99.1430058479309,99.7926898002625,99.7926898002625,99.8093738555908,100.209313869476,100.893917798996,100.993976831436,101.109313964844,101.409333944321,0.684603929519653,1
time,upright,1920,0,960,540,left,inter,long,0.528,0.8,12,12,108.859786987305,109.859791994095,109.859791994095,110.392711877823,110.392711877823,110.409379959106,111.209383964539,112.444491863251,112.54455280304,112.659404993057,112.959402799606,1.23510789871216,1
time,upright,1920,0,960,540,left,short,long,0.95,0.4,12,12,113.959830999374,114.959851026535,114.959851026535,115.90943980217,115.90943980217,115.926101922989,116.326108932495,117.180451869965,117.280510902405,117.392783880234,117.692787885666,0.854342937469482,1
time,upright,1920,0,960,540,left,short,short,0.735,0.4,6,6,118.693205833435,119.693218946457,119.693218946457,120.426154851913,120.426154851913,120.442819833755,120.842826843262,121.591207027435,121.691265821457,121.809621810913,122.109501838684,0.748380184173584,1
time,upright,1920,0,960,540,left,short,inter,0.783,0.4,8,8,123.109983921051,124.110015869141,124.110015869141,124.892868995667,124.892868995667,124.909536838531,125.309659004211,126.001237869263,126.101294994354,126.20954990387,126.50955581665,0.69157886505127,1
time,upright,1920,0,960,540,left,long,short,0.878,1.6,6,6,127.509968996048,128.509997844696,128.509997844696,129.392920970917,129.392920970917,129.409581899643,131.009603023529,132.788980960846,132.889045953751,132.993387937546,133.293376922607,1.77937793731689,1
time,upright,1920,0,960,540,left,long,long,0.501,1.6,12,12,134.293390989304,135.292996883392,135.292996883392,135.792986869812,135.792986869812,135.809659004211,137.40966796875,138.999836921692,139.099896907806,139.210127830505,139.510129928589,1.59016895294189,1
time,upright,1920,0,960,540,left,inter,inter,0.93,0.8,8,8,140.51012301445,141.510111808777,141.510111808777,142.443059921265,142.443059921265,142.459721803665,143.259730815887,144.104466915131,144.204525947571,144.309751987457,144.609751939774,0.844736099243164,1
time,upright,1920,0,960,540,left,inter,long,0.622,0.8,12,12,145.610179901123,146.610191822052,146.610191822052,147.226444005966,147.226444005966,147.243112802505,148.043120861053,149.262328863144,149.362397909164,149.47646689415,149.776469945908,1.21920800209045,1
time,upright,1920,0,960,540,left,short,long,0.646,0.4,12,12,150.776897907257,151.776896953583,151.776896953583,152.426512956619,152.426512956619,152.443166971207,152.843173980713,153.548298835754,153.648355007172,153.759848833084,154.059851884842,0.705124855041504,1
time,upright,1920,0,960,540,left,short,inter,0.846,0.4,8,8,155.060284852982,156.060282945633,156.060282945633,156.909886837006,156.909886837006,156.926549911499,157.326551914215,157.925104856491,158.025161981583,158.14323091507,158.44323682785,0.598552942276001,1
time,upright,1920,0,960,540,left,inter,inter,0.545,0.8,8,8,159.443665981293,160.443656921387,160.443656921387,160.993668794632,160.993668794632,161.010331869125,161.810058832169,163.14496588707,163.245028972626,163.360387802124,163.660373926163,1.33490705490112,1
time,upright,1920,0,960,540,left,short,long,0.504,0.4,12,12,164.660372972488,165.660384893417,165.660384893417,166.160395860672,166.160395860672,166.176649808884,166.576650857925,167.21298789978,167.313047885895,167.426662921906,167.726670980453,0.636337041854858,1
time,upright,1920,0,960,540,left,inter,long,0.814,0.8,12,12,168.727102994919,169.727109909058,169.727109909058,170.543365001678,170.543365001678,170.560033798218,171.360040903091,172.648626804352,172.748685836792,172.860059976578,173.1600689888,1.28858590126038,1
time,upright,1920,0,960,540,left,inter,short,0.581,0.8,6,6,174.160485982895,175.160497903824,175.160497903824,175.743470907211,175.743470907211,175.760135889053,176.5600938797,177.090380907059,177.190439939499,177.293434858322,177.59343791008,0.530287027359009,1
time,upright,1920,0,960,540,left,inter,inter,0.65,0.8,8,8,178.5938808918,179.593873977661,179.593873977661,180.24346780777,180.24346780777,180.260140895844,181.060148000717,182.073446989059,182.173523902893,182.276829957962,182.576828956604,1.01329898834229,1
time,upright,1920,0,960,540,left,long,short,0.565,1.6,6,6,183.577246904373,184.577262878418,184.577262878418,185.14393901825,185.14393901825,185.16060090065,186.760209798813,188.79408288002,188.89414691925,189.010680913925,189.310672998428,2.03387308120728,1
time,upright,1920,0,960,540,left,inter,inter,0.64,0.8,8,8,190.310693979263,191.310376882553,191.310376882553,191.943600893021,191.943600893021,191.960313796997,192.760276794434,194.062002897263,194.162064790726,194.277380943298,194.57740187645,1.30172610282898,1
time,upright,1920,0,960,540,left,inter,short,0.886,0.8,6,6,195.577389001846,196.577409982681,196.577409982681,197.460323810577,197.460323810577,197.476990938187,198.276998996735,199.592643976212,199.692701816559,199.810467004776,200.110350847244,1.31564497947693,1
time,upright,1920,0,960,540,left,long,inter,0.83,1.6,8,8,201.110778808594,202.110795021057,202.110795021057,202.943713903427,202.943713903427,202.960384845734,204.560405015945,206.650451898575,206.750514984131,206.860855817795,207.160877943039,2.09004688262939,1
time,upright,1920,0,960,540,left,inter,inter,0.521,0.8,8,8,208.160851955414,209.160857915878,209.160857915878,209.677125930786,209.677125930786,209.693789958954,210.493798017502,211.971377849579,212.071440935135,212.177578926086,212.477583885193,1.47757983207703,1
time,upright,1920,0,960,540,left,long,long,0.527,1.6,12,12,213.477590799332,214.477602958679,214.477602958679,215.010932922363,215.010932922363,215.027587890625,216.627199888229,218.337267875671,218.437332868576,218.544314861298,218.844321012497,1.71006798744202,1
time,upright,1920,0,960,540,left,short,long,0.9,0.4,12,12,219.844300985336,220.844340801239,220.844340801239,221.74392580986,221.74392580986,221.760588884354,222.160596847534,222.968002796173,223.06805896759,223.177274942398,223.477277994156,0.807405948638916,1
time,upright,1920,0,960,540,left,long,short,0.951,1.6,6,6,224.477692842484,225.477713823318,225.477713823318,226.427307844162,226.427307844162,226.44397187233,228.043992996216,230.17276096344,230.272821903229,230.377787828445,230.677793979645,2.12876796722412,1
time,upright,1920,0,960,540,left,inter,short,0.613,0.8,6,6,231.677770853043,232.6777780056,232.6777780056,233.294051885605,233.294051885605,233.310714006424,234.110723972321,235.112568855286,235.2126288414,235.327521800995,235.627406835556,1.00184488296509,1
