blockType,targetLineLoc,lineSpecs_1,lineSpecs_2,lineSpecs_3,lineSpecs_4,flashLoc,timeIntervalType,distIntervalType,delay,timeInterval,distInterval,targetInterval,fixOn,fixOff,lineOn,lineOff,setOn,setOff,tarOn,saccadeOn,saccadeInRect,feedBackOn,feedBackOff,prodDist_1,prodDist_2,prodDist_3,prodDist_4,RT,blockNum
space,upleft,0,0,960,540,right,inter,long,0.524,0.8,12,12,4.39701700210571,5.39703607559204,5.39703607559204,5.91328120231628,5.91328120231628,5.92994618415833,6.72995615005493,7.17294120788574,7.27324604988098,7.37997603416443,7.67997312545776,404.144876276451,34.3291754838589,592.200012207031,372.5,0.442985057830811,1
space,upleft,0,0,960,540,right,inter,inter,0.847,0.8,8,8,8.7633101940155,9.76332807540894,9.76332807540894,10.6133351325989,10.6133351325989,10.6300029754639,11.4300131797791,11.9859690666199,12.0863680839539,12.1966891288757,12.4966881275177,299.401060933468,5.9158076539237,696.200012207031,398.399993896484,0.55595588684082,1
space,upleft,0,0,960,540,right,long,short,0.854,1.6,6,6,13.5638041496277,14.5633780956268,14.5633780956268,15.4133841991425,15.4133841991425,15.4300560951233,17.0300719738007,17.4237132072449,17.523787021637,17.6300749778748,17.9300811290741,143.43797206826,15.4759018267586,843.299987792969,456.600006103516,0.393641233444214,1
space,upleft,0,0,960,540,right,short,short,0.521,0.4,6,6,19.0135440826416,20.0135540962219,20.0135540962219,20.5301079750061,20.5301079750061,20.546777009964,20.9467830657959,21.6905670166016,21.7906420230865,21.8967881202698,22.1967930793762,281.024295210025,8.95544994826393,710.799987792969,410.100006103516,0.743783950805664,1
space,upleft,0,0,960,540,right,inter,long,0.501,0.8,12,12,23.2638971805573,24.2634861469269,24.2634861469269,24.763491153717,24.763491153717,24.7801580429077,25.5801601409912,26.2364401817322,26.336510181427,26.446958065033,26.7468450069427,590.495182400528,47.7841311502112,423.600006103516,293.100006103516,0.656280040740967,1
space,upleft,0,0,960,540,right,inter,inter,0.586,0.8,8,8,27.8301901817322,28.8302030563354,28.8302030563354,29.4135420322418,29.4135420322418,29.4302070140839,30.2302181720734,31.0121760368347,31.1122720241547,31.2302350997925,31.5303502082825,381.665117869693,8.00214758054986,623.5,359.899993896484,0.781957864761353,1
space,upleft,0,0,960,540,right,inter,inter,0.975,0.8,8,8,32.5973401069641,33.5969140529633,33.5969140529633,34.5802640914917,34.5802640914917,34.5969390869141,35.3969411849976,36.5589690208435,36.6590712070465,36.764279127121,37.064090013504,354.115403859376,49.5654126567704,630.099975585938,411.299987792969,1.16202783584595,1
space,upleft,0,0,960,540,right,short,short,0.843,0.4,6,6,38.1469671726227,39.1469781398773,39.1469781398773,39.9969911575317,39.9969911575317,40.0137710571289,40.4136600494385,41.1418061256409,41.2418930530548,41.3470041751862,41.6474640369415,359.247388385792,16.7887344232114,639,378.700012207031,0.728146076202393,1
space,upleft,0,0,960,540,right,short,long,0.839,0.4,12,12,42.7136821746826,43.713700056076,43.713700056076,44.5470399856567,44.5470399856567,44.5637080669403,44.9637072086334,46.1087501049042,46.2088251113892,46.3137290477753,46.6137320995331,524.326190633818,42.6854089383577,483.600006103516,321,1.14504289627075,1
space,upleft,0,0,960,540,right,inter,short,0.737,0.8,6,6,47.6970729827881,48.6970860958099,48.6970860958099,49.4304280281067,49.4304280281067,49.4472141265869,50.2471029758453,51.2023689746857,51.3024451732635,51.4137840270996,51.7142341136932,219.984642214086,10.3608315889497,763.400024414062,441.299987792969,0.955265998840332,1
space,upleft,0,0,960,540,right,short,long,0.981,0.4,12,12,52.7804651260376,53.7804741859436,53.7804741859436,54.7638201713562,54.7638201713562,54.7804861068726,55.1804912090302,56.5801920890808,56.6802620887756,56.7976319789886,57.0976400375366,490.816304850829,35.3423773910507,516,330.799987792969,1.39970088005066,1
space,upleft,0,0,960,540,right,inter,short,0.936,0.8,6,6,58.1809391975403,59.1805319786072,59.1805319786072,60.1138780117035,60.1138780117035,60.1305470466614,60.9305510520935,61.7604219913483,61.860493183136,61.9640200138092,62.2638981342316,176.02458579263,12.5942671764091,800.799987792969,464.899993896484,0.829870939254761,1
space,upleft,0,0,960,540,right,inter,long,0.693,0.8,12,12,63.3310151100159,64.3305931091309,64.3305931091309,65.0305981636047,65.0305981636047,65.0472631454468,65.8472762107849,67.2010540962219,67.3011300563812,67.4139561653137,67.7144241333008,491.163234567412,74.9010060976569,500.200012207031,367.299987792969,1.35377788543701,1
space,upleft,0,0,960,540,right,long,short,0.774,1.6,6,6,68.7973091602325,69.7973160743713,69.7973160743713,70.5639929771423,70.5639929771423,70.580658197403,72.180673122406,73.4258451461792,73.525918006897,73.6307032108307,73.9311521053314,226.530553809156,29.181415843733,749.900024414062,455.299987792969,1.24517202377319,1
