blockType,targetLineLoc,lineSpecs_1,lineSpecs_2,lineSpecs_3,lineSpecs_4,flashLoc,timeIntervalType,distIntervalType,delay,timeInterval,distInterval,targetInterval,fixOn,fixOff,lineOn,lineOff,setOn,setOff,tarOn,saccadeOn,saccadeInRect,feedBackOn,feedBackOff,prodDist_1,prodDist_2,prodDist_3,prodDist_4,RT,blockNum
space,downleft,0,1080,960,540,right,inter,inter,0.561,0.8,8,8,4.64272499084473,5.64273405075073,5.64273405075073,6.20898389816284,6.20898389816284,6.22565388679504,7.02566385269165,7.38154983520508,7.48160696029663,7.59244894981384,7.89238405227661,452.676960320794,53.2260405520434,542.099975585938,714,0.355885982513428,1
space,downleft,0,1080,960,540,right,long,inter,0.711,1.6,8,8,8.89277195930481,9.89235901832581,9.89235901832581,10.609148979187,10.609148979187,10.6256968975067,12.2257628440857,12.5413219928741,12.6413769721985,12.7590899467468,13.0591008663177,332.628650231875,23.7994807893069,682.5,723.400024414062,0.315559148788452,1
space,downleft,0,1080,960,540,right,long,short,0.612,1.6,6,6,14.0594818592072,15.0590708255768,15.0590708255768,15.6757488250732,15.6757488250732,15.6924178600311,17.2924308776855,17.5944008827209,17.6944580078125,17.8091018199921,18.1092250347137,159.138831129437,8.00763349529998,825.400024414062,624.900024414062,0.3019700050354,1
space,downleft,0,1080,960,540,right,short,long,0.674,0.4,12,12,19.1095638275146,20.1095759868622,20.1095759868622,20.7762260437012,20.7762260437012,20.7928929328918,21.1924698352814,21.8652229309082,21.9652779102325,22.0758509635925,22.3758120536804,564.478895268127,7.25039772075521,464.5,810.400024414062,0.672753095626831,1
space,downleft,0,1080,960,540,right,long,long,0.786,1.6,12,12,23.3762428760529,24.3762669563293,24.3762669563293,25.1591708660126,25.1591708660126,25.1758420467377,26.7758588790894,27.0650570392609,27.1651139259338,27.2758619785309,27.5758650302887,420.961028713245,12.5180262605697,599.400024414062,757.200012207031,0.289198160171509,1
space,downleft,0,1080,960,540,right,short,short,0.681,0.4,6,6,28.5758759975433,29.5763199329376,29.5763199329376,30.2592220306396,30.2592220306396,30.2758889198303,30.6758990287781,31.0939028263092,31.1939589977264,31.3092758655548,31.6092948913574,455.011824939707,10.4588731975264,558.400024414062,753.900024414062,0.418003797531128,1
space,downleft,0,1080,960,540,right,inter,short,0.995,0.8,6,6,32.6092958450317,33.6096818447113,33.6096818447113,34.6092660427094,34.6092660427094,34.6259329319,35.4259469509125,35.6977698802948,35.797828912735,35.9092838764191,36.2092888355255,238.822806445319,19.9373070357082,742.799987792969,639.299987792969,0.271822929382324,1
space,downleft,0,1080,960,540,right,inter,long,0.9,0.8,12,12,37.2097179889679,38.2097358703613,38.2097358703613,39.1093099117279,39.1093099117279,39.1259789466858,39.9259898662567,40.1775879859924,40.2776458263397,40.3926608562469,40.6926648616791,539.507075782456,6.10101213588775,492.799987792969,809.799987792969,0.251598119735718,1
space,downleft,0,1080,960,540,right,inter,short,0.866,0.8,6,6,41.6926729679108,42.6930978298187,42.6930978298187,43.5593550205231,43.5593550205231,43.5760228633881,44.3760340213776,44.6224868297577,44.7225439548492,44.8260359764099,45.1260440349579,227.787843235498,38.9322170372661,745.299987792969,616.099975585938,0.246452808380127,1
space,downleft,0,1080,960,540,right,long,short,0.772,1.6,6,6,50.1931960582733,51.1931798458099,51.1931798458099,51.9594390392303,51.9594390392303,51.9761068820953,53.5761258602142,53.8570699691772,53.9571239948273,54.0594639778137,54.3594670295715,261.846970014104,11.4176382064129,726.400024414062,658.299987792969,0.280944108963013,1
space,downleft,0,1080,960,540,right,short,long,0.655,0.4,12,12,55.3599150180817,56.3599300384521,56.3599300384521,57.0096080303192,57.0096080303192,57.0261609554291,57.4261629581451,57.7809529304504,57.8810050487518,57.9928388595581,58.2928359508514,302.749956901415,1.29103190371556,695.5,687.299987792969,0.354789972305298,1
space,downleft,0,1080,960,540,right,inter,short,0.516,0.8,6,6,59.2932879924774,60.2932970523834,60.2932970523834,60.809947013855,60.809947013855,60.8266348838806,61.6262059211731,61.8767418861389,61.9767949581146,62.0929758548737,62.3928768634796,293.969784197282,12.9864768330745,710.400024414062,695.299987792969,0.25053596496582,1
space,downleft,0,1080,960,540,right,long,long,0.716,1.6,12,12,63.393326997757,64.3933069705963,64.3933069705963,65.1096880435944,65.1096880435944,65.1262359619141,66.7262580394745,66.9757158756256,67.07577085495,67.1929278373718,67.4929339885712,492.524760429596,47.1086654286146,509.600006103516,739.299987792969,0.249457836151123,1
space,downleft,0,1080,960,540,right,short,short,0.778,0.4,6,6,68.4929358959198,69.4933848381042,69.4933848381042,70.2762908935547,70.2762908935547,70.2929599285126,70.6929638385773,71.3664360046387,71.4664900302887,71.5763020515442,71.876307964325,433.628277684941,24.730939241925,594.799987792969,773.799987792969,0.673472166061401,1
space,downleft,0,1080,960,540,right,short,inter,0.98,0.4,8,8,72.8767549991608,73.8767528533936,73.8767528533936,74.859671831131,74.859671831131,74.8763349056244,75.2763419151306,75.5894110202789,75.6894669532776,75.7930159568787,76.093024969101,417.621976927453,66.3650524135458,568.099975585938,684.299987792969,0.313069105148315,1
space,downleft,0,1080,960,540,right,short,short,0.706,0.4,6,6,77.0936589241028,78.0930850505829,78.0930850505829,78.7930920124054,78.7930920124054,78.8097610473633,79.2097630500793,79.4991698265076,79.5992250442505,79.7097618579865,80.0098419189453,188.02032802333,11.2596438616094,790.900024414062,622.200012207031,0.289406776428223,1
space,downleft,0,1080,960,540,right,short,inter,0.75,0.4,8,8,81.0101640224457,82.0098600387573,82.0098600387573,82.7597489356995,82.7597489356995,82.776417016983,83.1764190196991,83.4411089420319,83.5411620140076,83.643089056015,83.9430949687958,421.350804991162,36.3719638969628,576.299987792969,714.099975585938,0.264689922332764,1
space,downleft,0,1080,960,540,right,short,long,0.845,0.4,12,12,84.9435338973999,85.9431669712067,85.9431669712067,86.7931208610535,86.7931208610535,86.8097929954529,87.2097890377045,87.4939298629761,87.5939829349518,87.7097990512848,88.0099198818207,469.765899145521,9.47838396622947,546,762,0.284140825271606,1
space,downleft,0,1080,960,540,right,short,long,0.911,0.4,12,12,89.010241985321,90.0099358558655,90.0099358558655,90.9264948368073,90.9264948368073,90.943167924881,91.3431730270386,91.5999798774719,91.7000370025635,91.8098390102386,92.1099598407745,566.124680571901,4.06371794952607,464.600006103516,814,0.25680685043335,1
space,downleft,0,1080,960,540,right,long,inter,0.984,1.6,8,8,93.1102850437164,94.1098649501801,94.1098649501801,95.0932569503784,95.0932569503784,95.1099219322205,96.7098889350891,96.9367368221283,97.0367889404297,97.1432309150696,97.4432339668274,392.361496079772,49.4782431337894,596.5,687.700012207031,0.226847887039185,1
space,downleft,0,1080,960,540,right,long,long,0.745,1.6,12,12,102.110388040543,103.109957933426,103.109957933426,103.859959840775,103.859959840775,103.876632928848,105.476640939713,105.747452974319,105.847506046295,105.959985971451,106.259986877441,538.325494945485,2.88707568034257,489.399993896484,801.400024414062,0.270812034606934,1
space,downleft,0,1080,960,540,right,long,short,0.72,1.6,6,6,107.260417938232,108.260452032089,108.260452032089,108.976678848267,108.976678848267,108.993348836899,110.593366861343,110.83033490181,110.930392980576,111.043367862701,111.343371868134,310.485614653463,37.1999347238159,673.099975585938,658.700012207031,0.236968040466309,1
space,downleft,0,1080,960,540,right,long,long,0.933,1.6,12,12,112.343818902969,113.343829870224,113.343829870224,114.276731967926,114.276731967926,114.293401002884,115.893419027328,116.149019956589,116.249073982239,116.360088825226,116.660094022751,482.196018233249,23.9683272709251,552,797,0.255600929260254,1
space,downleft,0,1080,960,540,right,short,short,0.562,0.4,6,6,117.660099983215,118.660541057587,118.660541057587,119.226783037186,119.226783037186,119.243449926376,119.643498897552,119.96896982193,120.069031953812,120.176831960678,120.476843833923,309.084994129756,13.9070831488779,697.700012207031,703.5,0.325470924377441,1
space,downleft,0,1080,960,540,right,inter,inter,0.712,0.8,8,8,121.47723197937,122.477234840393,122.477234840393,123.193490982056,123.193490982056,123.210157871246,124.01028585434,124.299839019775,124.399898052216,124.510287046432,124.810173034668,372.907932066804,22.1434493660865,624.700012207031,703.200012207031,0.289553165435791,1
space,downleft,0,1080,960,540,right,inter,long,0.559,0.8,12,12,125.810184001923,126.810631036758,126.810631036758,127.376868009567,127.376868009567,127.393532037735,128.19353890419,128.468621969223,128.568681001663,128.676879882812,128.97688293457,456.455715727082,11.8261692906591,556.5,753.400024414062,0.275083065032959,1
space,downleft,0,1080,960,540,right,long,long,0.723,1.6,12,12,129.977309942245,130.976899862289,130.976899862289,131.693579912186,131.693579912186,131.710242033005,133.310260057449,133.5895819664,133.689636945724,133.79359793663,134.093601942062,546.332958065057,12.5343593249394,490.100006103516,818.700012207031,0.279321908950806,1
space,downleft,0,1080,960,540,right,inter,inter,0.737,0.8,8,8,135.094039916992,136.093617916107,136.093617916107,136.826961994171,136.826961994171,136.843626976013,137.643635034561,137.899230957031,137.99928689003,138.110425949097,138.410307884216,321.690149605978,1.27470050174429,679,696.599975585938,0.255595922470093,1
space,downleft,0,1080,960,540,right,long,short,0.507,1.6,6,6,139.410755872726,140.410759925842,140.410759925842,140.910400867462,140.910400867462,140.927006006241,142.527019023895,142.752104997635,142.852160930634,142.96035695076,143.260362863541,287.254137174264,21.4952270296187,699.799987792969,661.700012207031,0.225085973739624,1
space,downleft,0,1080,960,540,right,inter,short,0.798,0.8,6,6,144.260797023773,145.260807991028,145.260807991028,146.060386896133,146.060386896133,146.07705283165,146.877063035965,147.134999990463,147.23505282402,147.343734025955,147.64374089241,299.840234737081,18.7170633810501,690,670.400024414062,0.257936954498291,1
