blockType,targetLineLoc,lineSpecs_1,lineSpecs_2,lineSpecs_3,lineSpecs_4,flashLoc,timeIntervalType,distIntervalType,delay,timeInterval,distInterval,targetInterval,fixOn,fixOff,lineOn,lineOff,setOn,setOff,tarOn,saccadeOn,saccadeInRect,feedBackOn,feedBackOff,prodDist_1,prodDist_2,prodDist_3,prodDist_4,RT,blockNum
space,upright,1920,0,960,540,left,inter,short,0.743,0.8,6,6,10.7695899009705,11.7696239948273,11.7696239948273,12.5192148685455,12.5192148685455,12.5358829498291,13.3358910083771,13.9820239543915,14.0820689201355,14.18590092659,14.4859030246735,272.594900691144,23.4672005952905,1185.19995117188,386.399993896484,0.646132946014404,1
space,upright,1920,0,960,540,left,short,long,0.888,0.4,12,12,15.4863328933716,16.4863250255585,16.4863250255585,17.3692638874054,17.3692638874054,17.3859310150146,17.7859349250793,18.4779870510101,18.5780339241028,18.6859378814697,18.9859399795532,342.94162989657,52.2400454572154,1229.80004882812,328.299987792969,0.692052125930786,1
space,upright,1920,0,960,540,left,short,inter,0.699,0.4,8,8,29.9528379440308,30.9528419971466,30.9528419971466,31.6527299880981,31.6527299880981,31.6693978309631,32.0694048404694,32.6934008598328,32.7934458255768,32.9027478694916,33.2027518749237,287.797524931063,47.0432882863788,1184.40002441406,359.799987792969,0.623996019363403,1
space,upright,1920,0,960,540,left,long,short,0.594,1.6,6,6,38.2532188892365,39.2532269954681,39.2532269954681,39.8532299995422,39.8532299995422,39.8699109554291,41.4694969654083,42.2641940116882,42.3642389774323,42.4695129394531,42.7695159912109,170.93266177311,36.1322360719761,1087.90002441406,426.600006103516,0.794697046279907,1
space,upright,1920,0,960,540,left,inter,inter,0.999,0.8,8,8,43.7699239253998,44.7699489593506,44.7699489593506,45.7695379257202,45.7695379257202,45.7862029075623,46.5862138271332,47.0770518779755,47.1771018505096,47.2862198352814,47.5862238407135,255.80336880826,30.0094697905065,1166.69995117188,389.299987792969,0.490838050842285,1
space,upright,1920,0,960,540,left,inter,short,0.657,0.8,6,6,48.5866498947144,49.5866739749908,49.5866739749908,50.2362558841705,50.2362558841705,50.2529239654541,51.0529308319092,51.597874879837,51.6979179382324,51.8029398918152,52.1029419898987,184.133117157086,17.115542001665,1111.40002441406,435.200012207031,0.544944047927856,1
space,upright,1920,0,960,540,left,long,inter,0.778,1.6,8,8,62.4367940425873,63.4368028640747,63.4368028640747,64.2197258472443,64.2197258472443,64.236387014389,65.8364019393921,66.1543760299683,66.254420042038,66.3697428703308,66.6697459220886,315.691700872861,30.3417233861484,1219,359.5,0.317974090576172,1
space,upright,1920,0,960,540,left,long,short,0.984,1.6,6,6,67.6697618961334,68.67018699646,68.67018699646,69.6531100273132,69.6531100273132,69.6697750091553,71.2697968482971,71.5802669525146,71.68031001091,71.7864708900452,72.086473941803,292.669208869524,26.7519203126979,1200.90002441406,373.799987792969,0.310470104217529,1
space,upright,1920,0,960,540,left,long,short,0.506,1.6,6,6,73.0868890285492,74.0864930152893,74.0864930152893,74.5864980220795,74.5864980220795,74.6031649112701,76.2031760215759,76.6709909439087,76.7710340023041,76.886519908905,77.1865179538727,178.097056662365,15.388762226949,1107.09997558594,439.600006103516,0.467814922332764,1
space,upright,1920,0,960,540,left,short,long,0.92,0.4,12,12,83.4869918823242,84.4870018959045,84.4870018959045,85.4032728672028,85.4032728672028,85.4199390411377,85.8199348449707,86.8047709465027,86.9048159122467,87.019947052002,87.3199589252472,465.894148194391,10.2737019635305,1371,320.600006103516,0.984836101531982,1
space,upright,1920,0,960,540,left,short,inter,0.712,0.4,8,8,88.3203680515289,89.3203818798065,89.3203818798065,90.0366458892822,90.0366458892822,90.0533118247986,90.4533200263977,90.9935660362244,91.0936119556427,91.2033269405365,91.50332903862,216.64143669272,0.446699751719786,1148.59997558594,433.399993896484,0.54024600982666,1
