blockType,targetLineLoc,lineSpecs_1,lineSpecs_2,lineSpecs_3,lineSpecs_4,flashLoc,timeIntervalType,distIntervalType,delay,timeInterval,distInterval,targetInterval,fixOn,fixOff,lineOn,lineOff,setOn,setOff,tarOn,saccadeOn,saccadeInRect,feedBackOn,feedBackOff,prodDist_1,prodDist_2,prodDist_3,prodDist_4,RT,blockNum
space,downright,1920,1080,960,540,left,inter,long,0.509,0.8,12,12,7.99091482162476,8.99091196060181,8.99091196060181,9.50759983062744,9.50759983062744,9.52428388595581,10.323835849762,10.7108609676361,10.8115139007568,10.9238448143005,11.2238509654999,243.322916711267,67.4436497493558,1130.69995117188,713.400024414062,0.387025117874146,9
space,downright,1920,1080,960,540,left,long,inter,0.696,1.6,8,8,12.224289894104,13.2242889404297,13.2242889404297,13.9238770008087,13.9238770008087,13.9405448436737,15.5406110286713,15.9226469993591,16.0227348804474,16.1406178474426,16.4406208992004,238.270662039359,34.9338130588363,1148.30004882812,686,0.382035970687866,9
space,downright,1920,1080,960,540,left,long,inter,0.869,1.6,8,8,17.4406309127808,18.4410238265991,18.4410238265991,19.3072688579559,19.3072688579559,19.3239359855652,20.9240000247955,21.3434309959412,21.4435188770294,21.5573399066925,21.8573429584503,221.119689771382,44.1453355332453,1127.19995117188,684.700012207031,0.41943097114563,9
space,downright,1920,1080,960,540,left,short,inter,0.735,0.4,8,8,22.8577308654785,23.857362985611,23.857362985611,24.5906569957733,24.5906569957733,24.6073179244995,25.0073277950287,25.488343000412,25.5884339809418,25.6906628608704,25.9906718730927,279.764002988531,41.4869609892416,1180.80004882812,711.799987792969,0.481015205383301,9
space,downright,1920,1080,960,540,left,inter,long,0.961,0.8,12,12,31.057806968689,32.0578238964081,32.0578238964081,33.0241899490356,33.0241899490356,33.0407388210297,33.8407490253448,34.1940739154816,34.2941558361053,34.4074189662933,34.7074279785156,489.587680616781,55.9279233872107,1356.5,827.200012207031,0.353324890136719,9
space,downright,1920,1080,960,540,left,long,inter,0.734,1.6,8,8,35.7074329853058,36.7078759670258,36.7078759670258,37.4408450126648,37.4408450126648,37.4574508666992,39.0574719905853,39.4158909320831,39.5159759521484,39.6241400241852,39.9241428375244,362.366658827338,29.8895842668339,1260.09997558594,743.099975585938,0.358418941497803,9
space,downright,1920,1080,960,540,left,long,inter,0.939,1.6,8,8,40.9245879650116,41.9241628646851,41.9241628646851,42.8575098514557,42.8575098514557,42.8742988109589,44.4741899967194,44.8586490154266,44.9587309360504,45.0742499828339,45.3743228912354,339.368565755363,38.6707051435263,1234.90002441406,739,0.384459018707275,9
space,downright,1920,1080,960,540,left,short,short,0.514,0.4,6,6,46.3743360042572,47.3746519088745,47.3746519088745,47.8909518718719,47.8909518718719,47.9076128005981,48.3076169490814,48.760598897934,48.8606779575348,48.9742360115051,49.2742450237274,236.690757740574,28.7021064848197,1150.69995117188,680.200012207031,0.452981948852539,9
space,downright,1920,1080,960,540,left,short,long,0.629,0.4,12,12,50.2746818065643,51.2746858596802,51.2746858596802,51.9076018333435,51.9076018333435,51.9242699146271,52.3242728710175,52.7404007911682,52.8404788970947,52.957612991333,53.2576148509979,585.086120342788,62.6499045000471,1436.30004882812,879.799987792969,0.416127920150757,9
space,downright,1920,1080,960,540,left,long,long,0.768,1.6,12,12,54.2580540180206,55.2580819129944,55.2580819129944,56.0244150161743,56.0244150161743,56.0409779548645,57.6409959793091,57.8704128265381,57.9704937934875,58.074334859848,58.3744568824768,450.527758570631,53.9396084451772,1323.40002441406,806.299987792969,0.229416847229004,9
