blockType,targetLineLoc,lineSpecs_1,lineSpecs_2,lineSpecs_3,lineSpecs_4,flashLoc,timeIntervalType,distIntervalType,delay,timeInterval,distInterval,targetInterval,fixOn,fixOff,lineOn,lineOff,setOn,setOff,tarOn,saccadeOn,saccadeInRect,feedBackOn,feedBackOff,RT,blockNum
time,downright,1920,1080,960,540,left,long,long,0.821,1.6,12,12,13.9227340221405,14.9227459430695,14.9227459430695,15.7389800548553,15.7389800548553,15.7556440830231,17.3557231426239,18.624340057373,18.7244069576263,18.8390619754791,19.1394481658936,1.26861691474915,1
time,downright,1920,1080,960,540,left,inter,short,0.596,0.8,6,6,20.1394250392914,21.139032125473,21.139032125473,21.7390379905701,21.7390379905701,21.7557101249695,22.5557141304016,22.8893060684204,22.9893701076508,23.1057231426239,23.4057281017303,0.333591938018799,1
time,downright,1920,1080,960,540,left,inter,long,0.836,0.8,12,12,24.4061479568481,25.4061470031738,25.4061470031738,26.2390811443329,26.2390811443329,26.2557520866394,27.0557601451874,27.7441129684448,27.8441679477692,27.9557681083679,28.2558219432831,0.688352823257446,1
time,downright,1920,1080,960,540,left,inter,short,0.672,0.8,6,6,29.2561869621277,30.2561979293823,30.2561979293823,30.9228880405426,30.9228880405426,30.9395501613617,31.7391400337219,32.07794713974,32.1779990196228,32.2891471385956,32.5891981124878,0.338807106018066,1
time,downright,1920,1080,960,540,left,long,short,0.579,1.6,6,6,33.5895731449127,34.5895850658417,34.5895850658417,35.1725051403046,35.1725051403046,35.1891739368439,36.7891891002655,38.0546360015869,38.1546969413757,38.2729730606079,38.5729789733887,1.26544690132141,1
time,downright,1920,1080,960,540,left,inter,long,0.557,0.8,12,12,39.5729579925537,40.5729801654816,40.5729801654816,41.1225669384003,41.1225669384003,41.1392300128937,41.9392399787903,43.2634780406952,43.3635339736938,43.4725861549377,43.772588968277,1.32423806190491,1
time,downright,1920,1080,960,540,left,long,inter,0.728,1.6,8,8,44.7730219364166,45.7730231285095,45.7730231285095,46.5059521198273,46.5059521198273,46.5226199626923,48.122631072998,49.4774899482727,49.5775470733643,49.6893129348755,49.9893209934235,1.35485887527466,1
time,downright,1920,1080,960,540,left,inter,inter,0.818,0.8,8,8,50.9897620677948,51.9897620677948,51.9897620677948,52.8060150146484,52.8060150146484,52.8226850032806,53.6226921081543,55.3472290039062,55.4472870826721,55.5564720630646,55.8564829826355,1.72453689575195,1
time,downright,1920,1080,960,540,left,inter,short,0.616,0.8,6,6,56.8564610481262,57.8564879894257,57.8564879894257,58.4727399349213,58.4727399349213,58.4894051551819,59.2894079685211,60.664962053299,60.7650220394135,60.8727581501007,61.1732070446014,1.37555408477783,1
time,downright,1920,1080,960,540,left,short,long,0.744,0.4,12,12,62.1731960773468,63.1727869510651,63.1727869510651,63.9229061603546,63.9229061603546,63.9394581317902,64.3394639492035,65.8820209503174,65.9820759296417,66.0899209976196,66.3899171352386,1.54255700111389,1
time,downright,1920,1080,960,540,left,short,long,0.875,0.4,12,12,67.3898961544037,68.3899149894714,68.3899149894714,69.2728450298309,69.2728450298309,69.289510011673,69.6895170211792,70.2969119548798,70.396968126297,70.5061950683594,70.806193113327,0.607394933700562,1
