blockType,targetLineLoc,lineSpecs_1,lineSpecs_2,lineSpecs_3,lineSpecs_4,flashLoc,timeIntervalType,distIntervalType,delay,timeInterval,distInterval,targetInterval,fixOn,fixOff,lineOn,lineOff,setOn,setOff,tarOn,saccadeOn,saccadeInRect,feedBackOn,feedBackOff,prodDist_1,prodDist_2,prodDist_3,prodDist_4,RT,blockNum
space,upleft,0,0,960,540,right,long,short,0.999,1.6,6,6,2.23329305648804,3.23286390304565,3.23286390304565,4.23289799690247,4.23289799690247,4.24956488609314,5.84958004951477,6.72211289405823,6.82218194007874,6.93290495872498,7.23337197303772,193.335402693274,8.03482035888285,787.700012207031,452.299987792969,0.872532844543457,9
space,upleft,0,0,960,540,right,long,inter,0.809,1.6,8,8,8.23333883285522,9.23292899131775,9.23292899131775,10.0496249198914,10.0496249198914,10.0662920475006,11.666405916214,12.8409218788147,12.9409809112549,13.0496339797974,13.3500988483429,188.556818385774,3.0178349520093,794.200012207031,450.200012207031,1.17451596260071,9
space,upleft,0,0,960,540,right,short,short,0.785,0.4,6,6,14.3500678539276,15.3501009941101,15.3501009941101,16.1330029964447,16.1330029964447,16.1496729850769,16.5496768951416,17.0968868732452,17.1969418525696,17.2996859550476,17.5996890068054,269.300682042644,19.5941082089406,716.299987792969,425.399993896484,0.547209978103638,9
space,upleft,0,0,960,540,right,inter,short,0.89,0.8,6,6,18.6001398563385,19.6001448631287,19.6001448631287,20.483069896698,20.483069896698,20.4997370243073,21.2997269630432,21.6025960445404,21.7026519775391,21.8164010047913,22.1164009571075,119.448442998091,17.0229430854798,865.299987792969,467.200012207031,0.302869081497192,9
space,upleft,0,0,960,540,right,inter,inter,0.639,0.8,8,8,23.1168630123138,24.1164429187775,24.1164429187775,24.7497839927673,24.7497839927673,24.7664499282837,25.5664579868317,26.2296760082245,26.3297350406647,26.433112859726,26.7331209182739,273.377274666713,9.82157281860654,726.700012207031,397.5,0.663218021392822,9
space,upleft,0,0,960,540,right,long,inter,0.771,1.6,8,8,27.7335729598999,28.733589887619,28.733589887619,29.4998128414154,29.4998128414154,29.5165939331055,31.1164999008179,31.6853940486908,31.7854549884796,31.8998408317566,32.1998410224915,251.330722772751,0.708161773507333,740.599975585938,417.399993896484,0.568894147872925,9
space,upleft,0,0,960,540,right,inter,inter,0.827,0.8,8,8,33.2002930641174,34.1998839378357,34.1998839378357,35.0332069396973,35.0332069396973,35.0498719215393,35.8498828411102,36.5192420482635,36.6192989349365,36.7332270145416,37.0332319736481,324.908344403748,13.5965770492242,670.400024414062,392.700012207031,0.66935920715332,9
space,upleft,0,0,960,540,right,inter,long,0.88,0.8,12,12,38.033684015274,39.0336940288544,39.0336940288544,39.9165949821472,39.9165949821472,39.9332568645477,40.7332708835602,41.183177947998,41.2832329273224,41.3999428749084,41.6999468803406,452.841291786511,13.4385827044208,558.900024414062,329.799987792969,0.449907064437866,9
space,upleft,0,0,960,540,right,inter,short,0.813,0.8,6,6,42.7003860473633,43.7003970146179,43.7003970146179,44.5166449546814,44.5166449546814,44.5333290100098,45.3333368301392,45.8219668865204,45.9220218658447,46.0333218574524,46.3333258628845,233.092390899646,4.5267441160219,759.099975585938,421.799987792969,0.488630056381226,9
space,upleft,0,0,960,540,right,inter,short,0.602,0.8,6,6,47.3337860107422,48.3337850570679,48.3337850570679,48.9337809085846,48.9337809085846,48.9504549503326,49.7500288486481,50.181715965271,50.2817749977112,50.4000420570374,50.7000379562378,241.79236892005,1.76492849340867,748.400024414062,423,0.431687116622925,9
