blockType,targetLineLoc,lineSpecs_1,lineSpecs_2,lineSpecs_3,lineSpecs_4,flashLoc,timeIntervalType,distIntervalType,delay,timeInterval,distInterval,targetInterval,fixOn,fixOff,lineOn,lineOff,setOn,setOff,tarOn,saccadeOn,saccadeInRect,feedBackOn,feedBackOff,RT,blockNum
time,upleft,0,0,960,540,right,inter,inter,0.655,0.8,8,8,9.68204593658447,10.682051897049,10.682051897049,11.3316509723663,11.3316509723663,11.3483190536499,12.1483268737793,12.6599140167236,12.7599790096283,12.8649780750275,13.1649880409241,0.511587142944336,1
time,upleft,0,0,960,540,right,inter,short,0.675,0.8,6,6,14.165431022644,15.1654438972473,15.1654438972473,15.8483459949493,15.8483459949493,15.865033864975,16.6650230884552,18.3997509479523,18.4998080730438,18.6150438785553,18.9154739379883,1.73472785949707,1
time,upleft,0,0,960,540,right,short,inter,0.583,0.4,8,8,19.9154908657074,20.9150660037994,20.9150660037994,21.4984259605408,21.4984259605408,21.5150940418243,21.9150769710541,22.4425749778748,22.5426330566406,22.6484229564667,22.9484300613403,0.527498006820679,1
time,upleft,0,0,960,540,right,long,short,0.663,1.6,6,6,23.9488639831543,24.9484629631042,24.9484629631042,25.6151170730591,25.6151170730591,25.6317789554596,27.2318019866943,29.2756819725037,29.3757429122925,29.4822800159454,29.7822768688202,2.04387998580933,1
time,upleft,0,0,960,540,right,inter,short,0.632,0.8,6,6,30.7822768688202,31.782280921936,31.782280921936,32.4151880741119,32.4151880741119,32.4318509101868,33.2318589687347,34.1703269481659,34.2703928947449,34.3818759918213,34.6818749904633,0.938467979431152,1
time,upleft,0,0,960,540,right,short,short,0.718,0.4,6,6,35.6823189258575,36.6823370456696,36.6823370456696,37.3985750675201,37.3985750675201,37.4152390956879,37.8153688907623,38.47540807724,38.5754659175873,38.681921005249,38.9819228649139,0.660039186477661,1
time,upleft,0,0,960,540,right,long,inter,0.639,1.6,8,8,39.9823660850525,40.9819478988647,40.9819478988647,41.6152849197388,41.6152849197388,41.6319530010223,43.2319700717926,45.4268050193787,45.526869058609,45.6325719356537,45.9324560165405,2.19483494758606,1
time,upleft,0,0,960,540,right,long,short,0.576,1.6,6,6,46.9324278831482,47.9320149421692,47.9320149421692,48.5153789520264,48.5153789520264,48.5320460796356,50.1320638656616,52.3076109886169,52.4076869487762,52.5158369541168,52.8155119419098,2.17554712295532,1
time,upleft,0,0,960,540,right,inter,inter,0.777,0.8,8,8,53.8155190944672,54.8155241012573,54.8155241012573,55.59876704216,55.59876704216,55.615434885025,56.415442943573,57.7336819171906,57.8337419033051,57.9492280483246,58.2492270469666,1.31823897361755,1
time,upleft,0,0,960,540,right,short,inter,0.926,0.4,8,8,59.2492220401764,60.2492399215698,60.2492399215698,61.1821548938751,61.1821548938751,61.1988248825073,61.5988259315491,62.2606859207153,62.3607449531555,62.4655089378357,62.7655100822449,0.66185998916626,1
time,upleft,0,0,960,540,right,inter,inter,0.794,0.8,8,8,63.76593708992,64.7659640312195,64.7659640312195,65.5655410289764,65.5655410289764,65.5822019577026,66.3822100162506,67.3602440357208,67.4603040218353,67.5655620098114,67.8660180568695,0.978034019470215,1
time,upleft,0,0,960,540,right,long,short,0.88,1.6,6,6,68.8659970760345,69.8655860424042,69.8655860424042,70.7489469051361,70.7489469051361,70.7656140327454,72.3656389713287,75.2890660762787,75.3891279697418,75.4994258880615,75.7994179725647,2.92342710494995,1
time,upleft,0,0,960,540,right,short,short,0.59,0.4,6,6,76.7994260787964,77.7990629673004,77.7990629673004,78.3823609352112,78.3823609352112,78.3990280628204,78.7990128993988,79.3907999992371,79.4908559322357,79.5990219116211,79.8990240097046,0.591787099838257,1
time,upleft,0,0,960,540,right,inter,inter,0.834,0.8,8,8,80.8994610309601,81.8990650177002,81.8990650177002,82.7324090003967,82.7324090003967,82.7490739822388,83.5490598678589,84.4648458957672,84.5649039745331,84.6824080944061,84.9828450679779,0.915786027908325,1
