blockType,targetLineLoc,lineSpecs_1,lineSpecs_2,lineSpecs_3,lineSpecs_4,flashLoc,timeIntervalType,distIntervalType,delay,timeInterval,distInterval,targetInterval,fixOn,fixOff,lineOn,lineOff,setOn,setOff,tarOn,saccadeOn,saccadeInRect,feedBackOn,feedBackOff,prodDist_1,prodDist_2,prodDist_3,prodDist_4,RT,blockNum
space,upright,1920,0,960,540,left,short,short,0.906,0.4,6,6,1.07940697669983,2.07941389083862,2.07941389083862,2.97899603843689,2.97899603843689,2.99565887451172,3.39566397666931,3.71248602867126,3.81277394294739,3.92900586128235,4.22900795936584,219.132693489486,0.996853881236385,1150.5,431.700012207031,0.316822052001953,9
space,upright,1920,0,960,540,left,long,long,0.956,1.6,12,12,5.22945785522461,6.22947096824646,6.22947096824646,7.17903685569763,7.17903685569763,7.19570398330688,8.7957170009613,9.31127190589905,9.41162991523743,9.52906203269958,9.8290638923645,424.715952486637,21.9800389272661,1318.90002441406,312.899993896484,0.515554904937744,9
space,upright,1920,0,960,540,left,long,short,0.554,1.6,6,6,10.8295528888702,11.8290929794312,11.8290929794312,12.3790888786316,12.3790888786316,12.3957550525665,13.9957740306854,14.2830500602722,14.3831150531769,14.4957809448242,14.7957799434662,288.253631661029,11.1125947479316,1205.59997558594,389.100006103516,0.287276029586792,9
space,upright,1920,0,960,540,left,inter,long,0.712,0.8,12,12,15.7962369918823,16.795804977417,16.795804977417,17.5124809741974,17.5124809741974,17.5291478633881,18.3291549682617,18.6229810714722,18.7230410575867,18.8291590213776,19.1292819976807,505.163430092587,45.485374942062,1376.19995117188,253.699996948242,0.293826103210449,9
space,upright,1920,0,960,540,left,long,long,0.958,1.6,12,12,20.1296319961548,21.1296260356903,21.1296260356903,22.0791940689087,22.0791940689087,22.095862865448,23.6958780288696,24.0247130393982,24.1247749328613,24.2292149066925,24.529217004776,432.506623481617,43.5569994370679,1356.40002441406,367,0.328835010528564,9
space,upright,1920,0,960,540,left,inter,inter,0.663,0.8,8,8,25.5292270183563,26.5296740531921,26.5296740531921,27.1959149837494,27.1959149837494,27.2125818729401,28.012589931488,28.2577519416809,28.35782289505,28.4626090526581,28.7625970840454,292.331785038757,4.36333700199832,1216.90002441406,400.5,0.245162010192871,9
space,upright,1920,0,960,540,left,inter,long,0.879,0.8,12,12,34.7130930423737,35.7126679420471,35.7126679420471,36.5960118770599,36.5960118770599,36.6126799583435,37.4126899242401,37.7045109272003,37.8045859336853,37.9126930236816,38.2126948833466,414.203156463373,1.64512276485968,1320.19995117188,335.5,0.291821002960205,9
space,upright,1920,0,960,540,left,inter,inter,0.724,0.8,8,8,39.2131350040436,40.2131500244141,40.2131500244141,40.9293940067291,40.9293940067291,40.9460589885712,41.7460658550262,42.0971858501434,42.1972699165344,42.3127410411835,42.6127409934998,334.212438225669,6.40063950035205,1248.09997558594,370.600006103516,0.351119995117188,9
space,upright,1920,0,960,540,left,inter,short,0.744,0.8,6,6,43.6127519607544,44.6131939888,44.6131939888,45.3627729415894,45.3627729415894,45.3794410228729,46.1794440746307,46.413192987442,46.5132639408112,46.6295690536499,46.9294550418854,210.411494839629,27.5036901212735,1155.30004882812,461.700012207031,0.233748912811279,9
space,upright,1920,0,960,540,left,long,long,0.888,1.6,12,12,47.9298830032349,48.9299080371857,48.9299080371857,49.8128199577332,49.8128199577332,49.8294899463654,51.4295098781586,51.7358300685883,51.8359088897705,51.946172952652,52.2461800575256,432.197974928705,4.33610691605682,1338.80004882812,331.899993896484,0.306320190429688,9
