blockType,targetLineLoc,lineSpecs_1,lineSpecs_2,lineSpecs_3,lineSpecs_4,flashLoc,timeIntervalType,distIntervalType,delay,timeInterval,distInterval,targetInterval,fixOn,fixOff,lineOn,lineOff,setOn,setOff,tarOn,saccadeOn,saccadeInRect,feedBackOn,feedBackOff,RT,blockNum
time,upright,1920,0,960,540,left,long,inter,0.703,1.6,8,8,15.6812109947205,16.6812269687653,16.6812269687653,17.3808009624481,17.3808009624481,17.3974668979645,18.9974920749664,19.7294070720673,19.8294808864594,19.9474890232086,20.2474989891052,0.73191499710083,1
time,upright,1920,0,960,540,left,short,short,0.703,0.4,6,6,21.28125,22.2812759876251,22.2812759876251,22.9808490276337,22.9808490276337,22.9975190162659,23.3975219726562,23.951427936554,24.0514979362488,24.1641988754272,24.4643230438232,0.553905963897705,1
time,upright,1920,0,960,540,left,inter,inter,0.553,0.8,8,8,25.4815309047699,26.4812979698181,26.4812979698181,27.030886888504,27.030886888504,27.0475590229034,27.8475658893585,28.5972409248352,28.697340965271,28.8142418861389,29.1142430305481,0.749675035476685,1
time,upright,1920,0,960,540,left,inter,long,0.815,0.8,12,12,30.1479969024658,31.1480259895325,31.1480259895325,31.9643840789795,31.9643840789795,31.9809339046478,32.7809410095215,33.8072209358215,33.9072980880737,34.0142869949341,34.3142879009247,1.02627992630005,1
time,upright,1920,0,960,540,left,inter,short,0.71,0.8,6,6,35.3313848972321,36.3313820362091,36.3313820362091,37.047651052475,37.047651052475,37.0643169879913,37.8643250465393,38.962886095047,39.0629758834839,39.1810059547424,39.4810049533844,1.09856104850769,1
time,upright,1920,0,960,540,left,inter,inter,0.522,0.8,8,8,40.4981029033661,41.4982190132141,41.4982190132141,42.0144739151001,42.0144739151001,42.0310249328613,42.831032037735,44.0037579536438,44.1038239002228,44.2143778800964,44.5145010948181,1.17272591590881,1
time,upright,1920,0,960,540,left,long,inter,0.71,1.6,8,8,45.5314950942993,46.5314979553223,46.5314979553223,47.2477440834045,47.2477440834045,47.2644100189209,48.864422082901,50.0066030025482,50.1066808700562,50.2144348621368,50.5145540237427,1.14218091964722,1
time,upright,1920,0,960,540,left,inter,short,0.515,0.8,6,6,51.5481979846954,52.5482039451599,52.5482039451599,53.064465045929,53.064465045929,53.081130027771,53.8811368942261,55.0193510055542,55.1194100379944,55.2311480045319,55.5312678813934,1.13821411132812,1
time,upright,1920,0,960,540,left,short,inter,0.594,0.4,8,8,56.5482308864594,57.5482730865479,57.5482730865479,58.1478409767151,58.1478409767151,58.1645069122314,58.5645098686218,59.3702359199524,59.4702899456024,59.5811910629272,59.8816149234772,0.805726051330566,1
time,upright,1920,0,960,540,left,long,inter,0.827,1.6,8,8,60.8982760906219,61.8978760242462,61.8978760242462,62.7312169075012,62.7312169075012,62.7478830814362,64.3478980064392,65.5500268936157,65.6500849723816,65.7645790576935,66.0650200843811,1.20212888717651,1
time,upright,1920,0,960,540,left,long,short,0.819,1.6,6,6,67.0816760063171,68.081680059433,68.081680059433,68.8979420661926,68.8979420661926,68.9146089553833,70.5147399902344,71.5928840637207,71.6929459571838,71.797966003418,72.0983979701996,1.07814407348633,1
time,upright,1920,0,960,540,left,inter,long,0.829,0.8,12,12,73.1150569915771,74.1150660514832,74.1150660514832,74.9479959011078,74.9479959011078,74.9647839069366,75.7646729946136,77.1158299446106,77.2158870697021,77.3313510417938,77.6313588619232,1.35115694999695,1
time,upright,1920,0,960,540,left,inter,long,0.754,0.8,12,12,78.6484599113464,79.6484699249268,79.6484699249268,80.3980450630188,80.3980450630188,80.4147109985352,81.2147228717804,82.4585468769073,82.5585989952087,82.6647329330444,82.9651679992676,1.24382400512695,1
time,upright,1920,0,960,540,left,short,long,0.748,0.4,12,12,83.9815409183502,84.9814260005951,84.9814260005951,85.7314300537109,85.7314300537109,85.748095035553,86.1480989456177,86.650426864624,86.7504720687866,86.8647770881653,87.1647760868073,0.502327919006348,1
time,upright,1920,0,960,540,left,inter,long,0.631,0.8,12,12,88.1818749904633,89.1818780899048,89.1818780899048,89.8152289390564,89.8152289390564,89.8319029808044,90.6314759254456,91.848119020462,91.9481709003448,92.065269947052,92.3652749061584,1.21664309501648,1
time,upright,1920,0,960,540,left,inter,long,0.863,0.8,12,12,93.38192486763,94.3819279670715,94.3819279670715,95.2481849193573,95.2481849193573,95.2648510932922,96.0648589134216,97.1169910430908,97.2170438766479,97.3315389156342,97.6316390037537,1.05213212966919,1
time,upright,1920,0,960,540,left,long,inter,0.644,1.6,8,8,98.6486358642578,99.6486608982086,99.6486608982086,100.298234939575,100.298234939575,100.314900875092,101.914912939072,102.528714895248,102.62876701355,102.731589078903,103.031713008881,0.613801956176758,1
time,upright,1920,0,960,540,left,short,short,0.965,0.4,6,6,104.048676967621,105.048280000687,105.048280000687,106.014949083328,106.014949083328,106.031738996506,106.431623935699,107.047774076462,107.14783000946,107.264962911606,107.564970016479,0.616150140762329,1
time,upright,1920,0,960,540,left,short,inter,0.746,0.4,8,8,108.582058906555,109.582073926926,109.582073926926,110.331661939621,110.331661939621,110.348326921463,110.748331069946,111.579423904419,111.679486989975,111.781671047211,112.081672906876,0.831092834472656,1
time,upright,1920,0,960,540,left,short,long,0.535,0.4,12,12,113.098780870438,114.098784923553,114.098784923553,114.632128953934,114.632128953934,114.64879989624,115.048369884491,115.6854429245,115.785506010056,115.898379087448,116.198385000229,0.637073040008545,1
time,upright,1920,0,960,540,left,long,long,0.791,1.6,12,12,121.965529918671,122.965111970901,122.965111970901,123.748450994492,123.748450994492,123.765116930008,125.365130901337,126.630120992661,126.730185031891,126.831868886948,127.132267951965,1.26499009132385,1
time,upright,1920,0,960,540,left,short,short,0.988,0.4,6,6,128.148906946182,129.148931980133,129.148931980133,130.13184595108,130.13184595108,130.148511886597,130.548516988754,131.123703956604,131.223779916763,131.331853866577,131.631856918335,0.575186967849731,1
time,upright,1920,0,960,540,left,short,inter,0.94,0.4,8,8,132.648962974548,133.648954868317,133.648954868317,134.581884860992,134.581884860992,134.598550081253,134.998558998108,135.724642038345,135.82470202446,135.931902885437,136.231901884079,0.726083040237427,1
