blockType,targetLineLoc,lineSpecs_1,lineSpecs_2,lineSpecs_3,lineSpecs_4,flashLoc,timeIntervalType,distIntervalType,delay,timeInterval,distInterval,targetInterval,fixOn,fixOff,lineOn,lineOff,setOn,setOff,tarOn,saccadeOn,saccadeInRect,feedBackOn,feedBackOff,prodDist_1,prodDist_2,prodDist_3,prodDist_4,RT,blockNum
space,downright,1920,1080,960,540,left,short,short,0.975,0.4,6,6,11.8420560359955,12.8420631885529,12.8420631885529,13.8249871730804,13.8249871730804,13.841649055481,14.2417721748352,14.7188150882721,14.8188722133636,14.9249970912933,15.2250020503998,199.403207527773,30.210985725661,1146.59997558594,610.299987792969,0.47704291343689,1
space,downright,1920,1080,960,540,left,long,inter,0.603,1.6,8,8,21.3754742145538,22.3754961490631,22.3754961490631,22.9755141735077,22.9755141735077,22.9921760559082,24.591756105423,25.0522861480713,25.1523411273956,25.2584311962128,25.5584301948547,142.131952671505,12.9755914482915,1077,620.700012207031,0.460530042648315,1
space,downright,1920,1080,960,540,left,inter,long,0.964,0.8,12,12,26.5588891506195,27.5588841438293,27.5588841438293,28.5251262187958,28.5251262187958,28.541796207428,29.3418011665344,29.8072760105133,29.9073300361633,30.0251441001892,30.3251481056213,434.170268290769,10.213762526491,1333.30004882812,761.700012207031,0.465474843978882,1
space,downright,1920,1080,960,540,left,short,long,0.976,0.4,12,12,31.325572013855,32.3251640796661,32.3251640796661,33.3085100650787,33.3085100650787,33.3251721858978,33.7251791954041,34.2360820770264,34.3361401557922,34.4418551921844,34.7419691085815,493.507222596472,6.50954654493079,1386.90002441406,787.599975585938,0.510902881622314,1
space,downright,1920,1080,960,540,left,long,long,0.741,1.6,12,12,35.742299079895,36.7423062324524,36.7423062324524,37.4752151966095,37.4752151966095,37.4918811321259,39.0918951034546,39.5779840946198,39.6780531406403,39.7919011116028,40.0919060707092,459.472845223792,0.0708048730415512,1360.5,765.200012207031,0.486088991165161,1
space,downright,1920,1080,960,540,left,long,long,0.713,1.6,12,12,41.0923562049866,42.0923671722412,42.0923671722412,42.8085980415344,42.8085980415344,42.8252630233765,44.4252781867981,44.6618311405182,44.7618861198425,44.8752841949463,45.1752901077271,397.231665331937,22.9714534409078,1316.90002441406,714.400024414062,0.236552953720093,1
space,downright,1920,1080,960,540,left,long,inter,0.808,1.6,8,8,46.1752951145172,47.1757252216339,47.1757252216339,47.9753181934357,47.9753181934357,47.9919810295105,49.5920491218567,49.9615170955658,50.0615770816803,50.1753880977631,50.4753911495209,258.7301432268,5.18588508524089,1188,662.299987792969,0.369467973709106,1
space,downright,1920,1080,960,540,left,inter,inter,0.745,0.8,8,8,51.4757821559906,52.4757912158966,52.4757912158966,53.2253651618958,53.2253651618958,53.2420341968536,54.0420391559601,54.269632101059,54.3696892261505,54.4753830432892,54.7753829956055,220.389477221405,8.64496379739122,1147.69995117188,655.5,0.227592945098877,1
space,downright,1920,1080,960,540,left,inter,inter,0.621,0.8,8,8,55.7758300304413,56.7758300304413,56.7758300304413,57.3920722007751,57.3920722007751,57.4087371826172,58.2087481021881,58.5614700317383,58.6615221500397,58.7754201889038,59.0754201412201,351.392854450945,19.3762109998627,1256.30004882812,728.900024414062,0.352721929550171,1
space,downright,1920,1080,960,540,left,short,inter,0.705,0.4,8,8,60.0754292011261,61.0758810043335,61.0758810043335,61.7755010128021,61.7755010128021,61.7921741008759,62.1921200752258,62.5831401348114,62.6831960678101,62.7921772003174,63.0921850204468,272.376577553945,9.69627785051061,1202,665,0.391020059585571,1
space,downright,1920,1080,960,540,left,short,long,0.857,0.4,12,12,64.0921900272369,65.0925822257996,65.0925822257996,65.9421591758728,65.9421591758728,65.9588270187378,66.3588311672211,66.8959760665894,66.9960360527039,67.1088330745697,67.408839225769,455.089652064312,30.8646806776916,1340.59997558594,789.5,0.537144899368286,1
space,downright,1920,1080,960,540,left,long,long,0.764,1.6,12,12,68.4092872142792,69.4092950820923,69.4092950820923,70.1759741306305,70.1759741306305,70.1922061443329,71.7922101020813,72.0967631340027,72.1968200206757,72.3088891506195,72.6088891029358,481.0196574563,2.77811377661632,1380.59997558594,773.400024414062,0.304553031921387,1
space,downright,1920,1080,960,540,left,long,inter,0.791,1.6,8,8,77.9427120685577,78.9427251815796,78.9427251815796,79.7256281375885,79.7256281375885,79.7424130439758,81.3423089981079,81.640438079834,81.7404940128326,81.8423140048981,82.1424341201782,386.17702166938,7.58270451314612,1292.80004882812,735.900024414062,0.298129081726074,1
space,downright,1920,1080,960,540,left,long,short,0.837,1.6,6,6,83.1424422264099,84.1424582004547,84.1424582004547,84.9756731987,84.9756731987,84.9923431873322,86.5923562049866,86.9013011455536,87.0013580322266,87.109081029892,87.4090840816498,193.437328352105,21.5170210727623,1117,653,0.308944940567017,1
space,downright,1920,1080,960,540,left,inter,inter,0.668,0.8,8,8,88.4094870090485,89.4095032215118,89.4095032215118,90.076140165329,90.076140165329,90.092835187912,90.8924000263214,91.1521282196045,91.2521910667419,91.3590750694275,91.6590790748596,235.832381746605,22.9823122273162,1153.30004882812,675.099975585938,0.259728193283081,1
space,downright,1920,1080,960,540,left,inter,short,0.793,0.8,6,6,92.6595780849457,93.6595840454102,93.6595840454102,94.4591071605682,94.4591071605682,94.4757721424103,95.2757751941681,95.5479621887207,95.6480231285095,95.759113073349,96.059121131897,240.336007399306,15.7482459085323,1161.30004882812,671.299987792969,0.272186994552612,1
space,downright,1920,1080,960,540,left,short,short,0.681,0.4,6,6,97.0591242313385,98.0595650672913,98.0595650672913,98.7425961494446,98.7425961494446,98.7592570781708,99.1591470241547,99.5510020256042,99.6510601043701,99.7592689990997,100.059157133102,236.399239269396,15.3125046871255,1158.09997558594,669,0.391855001449585,1
space,downright,1920,1080,960,540,left,inter,long,0.516,0.8,12,12,101.059167146683,102.059598207474,102.059598207474,102.575847148895,102.575847148895,102.592517137527,103.392525196075,103.680728197098,103.780782222748,103.892527103424,104.192530155182,449.392257443102,8.97723069222031,1347.19995117188,768.099975585938,0.288203001022339,1
