blockType,targetLineLoc,lineSpecs_1,lineSpecs_2,lineSpecs_3,lineSpecs_4,flashLoc,timeIntervalType,distIntervalType,delay,timeInterval,distInterval,targetInterval,fixOn,fixOff,lineOn,lineOff,setOn,setOff,tarOn,saccadeOn,saccadeInRect,feedBackOn,feedBackOff,prodDist_1,prodDist_2,prodDist_3,prodDist_4,RT,blockNum
space,upright,1920,0,960,540,left,long,long,0.686,1.6,12,12,15.660355091095,16.6603779792786,16.6603779792786,17.3432900905609,17.3432900905609,17.3599600791931,18.9599759578705,19.4010190963745,19.5010719299316,19.6101009845734,19.9099788665771,573.978456641855,5.83410742170872,1463.09997558594,263.700012207031,0.441043138504028,1
space,upright,1920,0,960,540,left,inter,long,0.846,0.8,12,12,20.9104299545288,21.9099988937378,21.9099988937378,22.7600078582764,22.7600078582764,22.7766768932343,23.5766839981079,24.0420019626617,24.1420590877533,24.2433569431305,24.5433559417725,522.513404074713,51.6463032414115,1438.5,330.100006103516,0.465317964553833,1
space,upright,1920,0,960,540,left,long,long,0.845,1.6,12,12,25.5437738895416,26.5437898635864,26.5437898635864,27.3933880329132,27.3933880329132,27.4100549221039,29.01007604599,29.4937450885773,29.5938029289246,29.710077047348,30.0100798606873,461.402443421058,15.2416998140839,1369.40002441406,327.200012207031,0.48366904258728,1
space,upright,1920,0,960,540,left,inter,inter,0.981,0.8,8,8,31.0105149745941,32.010097026825,32.010097026825,32.9934918880463,32.9934918880463,33.0101590156555,33.8101189136505,34.3305320739746,34.4305939674377,34.5434548854828,34.8434600830078,208.28704313141,7.28853978985422,1145,444.299987792969,0.520413160324097,1
space,upright,1920,0,960,540,left,long,short,0.887,1.6,6,6,35.8434669971466,36.8438968658447,36.8438968658447,37.7268190383911,37.7268190383911,37.7434909343719,39.3435029983521,39.9392960071564,40.0393550395966,40.1435089111328,40.4435169696808,291.464051158416,17.1482380535757,1222,412.299987792969,0.595793008804321,1
space,upright,1920,0,960,540,left,short,inter,0.823,0.4,8,8,41.4439239501953,42.4439749717712,42.4439749717712,43.2602050304413,43.2602050304413,43.2768740653992,43.676873922348,44.2223348617554,44.3223919868469,44.4268879890442,44.7268900871277,265.070609293787,20.0571027898667,1200.19995117188,427.899993896484,0.545460939407349,1
space,upright,1920,0,960,540,left,short,short,0.97,0.4,6,6,45.7273170948029,46.7273149490356,46.7273149490356,47.6935789585114,47.6935789585114,47.7102479934692,48.1102530956268,48.6020679473877,48.7021200656891,48.8102610111237,49.1102659702301,267.731091363545,22.3722652079156,1203.5,428.700012207031,0.491814851760864,1
space,upright,1920,0,960,540,left,long,inter,0.884,1.6,8,8,50.1106979846954,51.1106898784637,51.1106898784637,51.9936249256134,51.9936249256134,52.0102908611298,53.6103088855743,53.986939907074,54.0869970321655,54.1936509609222,54.4936468601227,223.288297332369,0.838926032369289,1154.19995117188,429.799987792969,0.376631021499634,1
space,upright,1920,0,960,540,left,long,long,0.892,1.6,12,12,55.4940900802612,56.4940810203552,56.4940810203552,57.3936800956726,57.3936800956726,57.4103450775146,59.0103559494019,59.3948040008545,59.4948620796204,59.6103639602661,59.9103670120239,551.179867867055,1.00775256520662,1439.90002441406,268.899993896484,0.384448051452637,1
space,upright,1920,0,960,540,left,inter,short,0.823,0.8,6,6,60.9108240604401,61.9103899002075,61.9103899002075,62.7270588874817,62.7270588874817,62.7437279224396,63.5437350273132,63.9685909748077,64.0686459541321,64.1770739555359,64.4770798683167,189.75165870796,13.3078583431206,1131.5,458.799987792969,0.424855947494507,1
space,upright,1920,0,960,540,left,long,short,0.745,1.6,6,6,65.477520942688,66.4775240421295,66.4775240421295,67.2271108627319,67.2271108627319,67.243772983551,68.8437888622284,68.8441848754883,68.9442448616028,69.0604619979858,69.3604600429535,228.048788639624,20.4820251224269,1168,446.5,0.000396013259887695,1
space,upright,1920,0,960,540,left,short,inter,0.867,0.4,8,8,70.3604700565338,71.3608949184418,71.3608949184418,72.2271580696106,72.2271580696106,72.2438218593597,72.6438229084015,73.2783689498901,73.3784229755402,73.4938380718231,73.793839931488,331.607056531382,1.86846266632912,1248.09997558594,375.799987792969,0.634546041488647,1
space,upright,1920,0,960,540,left,short,short,0.799,0.4,6,6,81.3110048770905,82.3110120296478,82.3110120296478,83.1105918884277,83.1105918884277,83.1272668838501,83.5272679328918,84.1089119911194,84.2089688777924,84.3106100559235,84.6106119155884,115.07808459033,7.12511272704974,1063.59997558594,489.899993896484,0.581644058227539,1
space,upright,1920,0,960,540,left,short,inter,0.845,0.4,8,8,90.5773310661316,91.5777540206909,91.5777540206909,92.4273500442505,92.4273500442505,92.4440240859985,92.8440248966217,93.4416859149933,93.5417430400848,93.6440329551697,93.9440310001373,342.080025077655,24.7472872678804,1269.5,394.299987792969,0.597661018371582,1
space,upright,1920,0,960,540,left,short,short,0.519,0.4,6,6,94.9444708824158,95.9440529346466,95.9440529346466,96.4607229232788,96.4607229232788,96.4773919582367,96.8773939609528,97.5674650669098,97.6675209999084,97.7774028778076,98.0774080753326,167.605305276813,16.5980772744655,1113.5,472.700012207031,0.690071105957031,1
space,upright,1920,0,960,540,left,short,long,0.947,0.4,12,12,99.0778470039368,100.077430963516,100.077430963516,101.027438879013,101.027438879013,101.044107913971,101.444110870361,101.980392932892,102.080446958542,102.194118022919,102.494117021561,600.230957130833,10.4697718814966,1488.19995117188,254.899993896484,0.536282062530518,1
