blockType,targetLineLoc,lineSpecs_1,lineSpecs_2,lineSpecs_3,lineSpecs_4,flashLoc,timeIntervalType,distIntervalType,delay,timeInterval,distInterval,targetInterval,fixOn,fixOff,lineOn,lineOff,setOn,setOff,tarOn,saccadeOn,saccadeInRect,feedBackOn,feedBackOff,RT,blockNum
time,upright,1920,0,960,540,left,long,long,0.554,1.6,12,12,8.16448497772217,9.1645200252533,9.1645200252533,9.71413516998291,9.71413516998291,9.73080205917358,11.3307621479034,13.1251711845398,13.2252280712128,13.3312211036682,13.6312310695648,1.79440903663635,9
time,upright,1920,0,960,540,left,short,inter,0.563,0.4,8,8,14.6312091350555,15.63121509552,15.63121509552,16.1979260444641,16.1979260444641,16.2145760059357,16.6141481399536,17.5358951091766,17.6359519958496,17.7474880218506,18.0474970340729,0.921746969223022,9
time,upright,1920,0,960,540,left,inter,long,0.592,0.8,12,12,19.047924041748,20.047945022583,20.047945022583,20.6475160121918,20.6475160121918,20.6641871929169,21.4641880989075,22.0487539768219,22.1488070487976,22.2642002105713,22.5642030239105,0.584565877914429,9
time,upright,1920,0,960,540,left,short,short,0.842,0.4,6,6,23.5646421909332,24.5646421909332,24.5646421909332,25.4142270088196,25.4142270088196,25.4308960437775,25.8308961391449,26.5034341812134,26.6034882068634,26.7142441272736,27.0142440795898,0.672538042068481,9
time,upright,1920,0,960,540,left,long,short,0.842,1.6,6,6,28.0146641731262,29.0146951675415,29.0146951675415,29.8643231391907,29.8643231391907,29.8809859752655,31.4809491634369,32.7513492107391,32.8514120578766,32.9642951488495,33.2647500038147,1.27040004730225,9
time,upright,1920,0,960,540,left,inter,short,0.881,0.8,6,6,40.1148071289062,41.1147980690002,41.1147980690002,41.9977140426636,41.9977140426636,42.0143821239471,42.8143870830536,44.2249701023102,44.3250260353088,44.4315230846405,44.7314991950989,1.41058301925659,9
time,upright,1920,0,960,540,left,inter,short,0.855,0.8,6,6,45.7315180301666,46.7315020561218,46.7315020561218,47.5811011791229,47.5811011791229,47.5977630615234,48.3977711200714,49.3958551883698,49.4959111213684,49.5977849960327,49.8977870941162,0.99808406829834,9
time,upright,1920,0,960,540,left,short,inter,0.956,0.4,8,8,50.898225069046,51.8982381820679,51.8982381820679,52.8478109836578,52.8478109836578,52.864490032196,53.2644820213318,53.8335540294647,53.9336130619049,54.0478270053864,54.3478300571442,0.569072008132935,9
time,upright,1920,0,960,540,left,long,inter,0.512,1.6,8,8,55.348256111145,56.3478469848633,56.3478469848633,56.864520072937,56.864520072937,56.8811831474304,58.4811952114105,60.5244560241699,60.6245172023773,60.7316710948944,61.0316631793976,2.0432608127594,9
time,upright,1920,0,960,540,left,inter,long,0.785,0.8,12,12,62.0316522121429,63.0316700935364,63.0316700935364,63.8145802021027,63.8145802021027,63.8312480449677,64.6312551498413,66.3100800514221,66.4101359844208,66.5150570869446,66.8150501251221,1.67882490158081,9
